,TIER 3,,,,,,,,,,,,
#,Company Name,Job Title,Compensation,,,# Jobs Offered,,,Placement Dates,,,"CGPA 
Cut-off",Additional Comments
,,,Internship,Base,CTC,FTE,FTE + Intern,Intern,PPT,Test Date,Interview,,
1,TCS,Ninja,,,4,,,,,15-08-2022,,,
2,Capgemini,Software Analyst,,,4.52,,,,,,,,
3,Mindtree,Graduate Engineer Trainee,,,4,59,,,27-08-2022,,,,
,,,,,5,,,,,,,,
4,KPIT,Graduate Engineer Trainee,,,4.5-6,,,,,,,,
5,Trigyn Fintech,Cyber Security Engineer,,,4.32,,,,,,,,
6,Cognizant,GenC,,,4,21,,,First week of September,,,,
7,Allstate Solutions,Associate Consultant,,,5.5,,,,18-10-2022,17-10-2022,18-10-2022,6, Java / dotnet / React JS / Power BI / SAP
8,The Math Company,,,,5.5,,,,,,,6,
9,Brane Enterprises,Associate Process Leader - Trainee,20k,5,5,,,,,,,8,
