,TIER 1,,,,,,,,,,,,
#,Company Name,Job Title,Compensation,,,# Jobs Offered,,,Placement Dates,,,"CGPA 
Cut-off",Additional Comments
,,,Internship,Base,CTC,FTE Only,FTE + Intern,Intern only,PPT,Test Date,Interview,,
43,Visa,Software Engineer,80k,16.57,28.55,-,5,-,13-09-2022,14-09-2022,19-09-2022,,
44,GSK,Data Engineer,-,12,15,-,8,-,12-09-2022,12-09-2022,13-09-2022,,
,,Data Analytics,-,12,15,,,,,,,,
45,Atlassian,Software Engineer,,20.8,38.04,1,,,16-09-2022,16-09-2022,29-09-2022,,
46, Enphase,Associate Engineer,,12.05,24.12,-,5,-,10-09-2022,10-09-2022,12-09-2022,,
47,Infibeam Avenues Limited,Software Development Engineer,,10,12,-,2,-,,18-09-2022,19-09-2022,,
48,Epsilon,Software Engineer,,10,13,-,15,-,17-09-2022,17-09-2022,20-09-2022,,
49,Samsung Semiconductor India,Hardware,,16,21,-,3,3,15-09-2022,15-09-2022,16-09-2022,,
,,Software,,,,-,4,,,,,,
50,Microchip Technology,CAD Engineer,,8.65,14.11,,,,,23-9-2022,26-09-2022,,
51,Amagi Media Labs,Software Engineer,30k,14,33,0,0,0,19-09-2022,19-09-2022,21-09-2022,,
52,ZScaler,C Developer,50k,14,16 + 15k USD,-,2,-,24-09-2022,25-09-2022,27-09-2022,,
,,DevTest,50k,12,14 + 12k USD,-,1,-,,,,,
,,DevOps,50k,12,14 + 12k USD,-,2,-,,,,,
,ZScaler (2nd Time),,,,,,,,,,,,
,ZScaler (3nd Time),,,,,,,,,,,,
53,Fractal Analytics,Imagineer,,,,,,,20-09-2022,,,,
54,Sixt R&D,Software Development Engineer - 1,40k,12,15,-,4,-,20-09-2022,21-09-2022,22-09-2022,,
55,Lam Research,Electrical Engineer - 1,,10.9,16.43,-,1,-,23-09-2022,24-09-2022,03-10-2022,,
,,Mechanical Engineer - 1,,9.2,12.27,-,1,-,,,,,
