#,Company Name,Job Title,Compensation,,,Jobs Offered,"CGPA 
Cut-off",Remarks,,,
,,,Internship,Base,CTC,Selected,,,,,
1,ZSCALER(PPO),,,,,7,,,,PPO(T1),41
2,JPMC(PPO),,,,,9,,,,PPO(T2),24
3,GOLDMAN SACHS(PPO),,,,,3,,,,,
4,GIGSKY(PPO),,,,,4,,,,,
5,PAYPAL(PPO),,,,,3,,,,,
6,INTUIT(PPO),,,,,1,,,,,
7,VISA(PPO),,,16,28,3,,,,,
8,PRONISI(PPO),,,12,16,5,,,,,
9,MORGAN STANLEY(PPO),,,,,4,,,,,
10,EXPEDIA,,35000,14.5,31,2,,,,,
11,ADOBE(PPO),,,,,9,,,,,
12,FIDELITY(PPO),,,,,15,,,,,
