#,Company Name,Job Title,Compensation,,,Placed,,"CGPA 
Cut-off",Remarks,,
,,,Internship,Base,CTC,FTE,Intern,,,,
,,PRODUCT INTERN,,,,,0,,,,
51,ALLO HEALTH,INTERN,30000,,,,,NA,,,
52,BIGBASKET,LEAD GENERATION INTERN,15000,,,,,7.5,,,
,,ANALYTICS INTERN,10000,6,7,,,7.5,,,
,,SE INTERN,35000,10,11,,,7,Performance Based FTE,,
53,FLUIDYN,SOFTWARE DEVELOPMENT INTERN,20000,,,,,,,,
54,BYJUS,INSIDE SALES INTERN,12000,,3.2,,25,NA,Performance Based FTE,,
55,PROPHEUS.AI,ENGINEERING/DATA SCIENCE INTERN,30000,,,3,5,NA,Resume Based Shortlisting,,
56,OPTIV,CYBER STRATEGY INTERN,,,,,,NA,,,
57,EQUINIX,SERVICENOW INTERN,80000,15,36.5,,0,NA,Performance Based FTE,,
58,ARGOID.AI,DATA SCIENCE/JAVA INTERN,18000-22000,,,,,7.5,Internship Only,,
59,ROHDE AND SCHWARZ,INTERN,,,7,,,7-8,Internship Only+2 years Bond,,
60,METALMANN,Mobile App Developer - Android,50000,6,10,,,,Performance Based FTE+Resume Based Shortlisting,,
,,Mobile App Developer - iOS,,,,,,,Performance Based FTE+Resume Based Shortlisting,,
,,Full Stack Web Developer,,,,,,,Performance Based FTE+Resume Based Shortlisting,,
,,Junior PHP Developer,,,,,,,Performance Based FTE+Resume Based Shortlisting,,
61,COVRZY,FOUNDER'S OFFCICE INTERN,25000,6,9,,,7,Performance Based FTE,,
62,ORIGIN MEDICAL,PRODUCT ANALYST,27000,,,,,,Internship Only,,
63,CONFIDENTIAL,INTERN,30000,,,,,,Internship Only,,
64,FINVOLV,SOFTWARE ENGINEER INTERN,25000,,10,,,8.5,Performance Based FTE+85% in Boards,,
65,RAKUTEN,TECHNICAL INTERN,30000,,10,,2,7,Performance Based FTE,,
66,FOUNDIT,Content writer Intern,15000,,,,,NA,Internship Only,,
,,Business Development & HR Intern,15000,,,,,NA,Internship Only,,
67,INTRNFORTE,Business development intern,15000,,,,,5-7,Internship Only,,
68,UNISYS,INTERN,30000,,7.5,,,7,Performance Based FTE,,
,,Associate Engineer,,,7.5,,,7,,,
69,MSG GLOBAL,INTERN,22000,,6,,,7,Performance Based FTE,,
70,BLOCKMAGIX,INTERN,15000,,,,,7,Performance Based FTE,,
71,HYPERGRO.AI,PRODUCT DESIGN INTERN,20000,,,,,7.5,Internship Only,,
72,OVII,FRONTEND DEVELOPER INTERN,20000,,,,,6.5,Performance Based FTE,,
73,ANKO,INTERN,25000,,,,2,NA,Internship Only+Shortlisted Female Only,,
74,SENARA.TV,INTERN,,,,,,8.5,Internship Only,,
75,KSHANA.AI,BACKEND DEV INTERN,,,,,,8.5,Internship Only,,
76,DECATHLON,JUNIOR SOFTWARE ARTIST,15000,,,,,8,Internship Only,,
77,MEESHO,SOFTWARE DEVELOPMENT INTERN,35000,,15,,,,Performance Based FTE,,
78,PWC,INTERN,,,,,,1,,,
79,O9 SOLUTIONS,ASSOCIATE SOFTWARE ENGINEER INTERN,30000,,15.25,,2,9,Performance Based FTE,,
,,SDET Intern,30000,,7.7,,5,7,Performance Based FTE,,
80,PHOTON INTERACTIVE,AI INTERN,0,,,,,8,Unpaid Internship,,
81,ABELL VENTURES,INTERN,10000,,,,,NA,,,
82,AIDASH,DEVOPS INTERN,50000,16,17,,7,7,Performance Based FTE,,
,,SDE INTERN,50000,16,17,,1,7,Performance Based FTE,,
83,NIKE ITC,SOFTWARE ENGINEER INTERN,75000,,,,4,NA,Performance Based FTE,,
84,ZYSK TECH,SOFTWARE DEVELOPER INTERN,12000,,,,,NA,Internship Only,,
85,PRACTO TECH,BUSINESS ANALSYT INTERN,30000,,10,,3,6,Performance Based FTE,,
,,SIRE RELIABILITY ENGINEER,20000,,5,,,,Performance Based FTE,,
86,SOROCO,SOFTWARE ENGINEER INTERN,50000,,,,,7.5,Performance Based FTE,,
87,LG SOFT INDIA,Intern,30000,6.5,7.5,,,6,Performance Based FTE+ 8-12 Months Internship,,
88,CA GRAMEEN,Analyst Intern,15000,,,,,6,Internship Only,,
89,SIEMENS,Intern,25000,,,,,7,Internship Only,,
90,XPERIN,Software Engineer Intern,50000,,,,,8,Performance Based FTE,,
91,ANSYS,INTERN,40000,,,,,NA,,,
92,KARBONCARD,Growth Operations - Intern,20000,,3,,,7,Performance Based FTE,,
93,4GOOD.AI,Software Devleoper/Data Engineer/Mobile Developer,,,,,,NA,,,
94,FIDLER.AI,SDET Intern,30000,,12,,4,8,Performance Based FTE+Women Only Drive,,
95,LEMNISK,SE Intern,35000,,,,,8,,,
96,IQNEXT,INTERN,12000,,,,,NA,,,
97,AP MOLLER MAERSK GSC,Data Science Intern,50000,,,,,NA,Performance Based FTE,,
98,PHRONETIC.AI,Data & ML Engineering/AI Technology Research/AI Business & Product Analysis,20000,,,,1,NA,,,
99,AIRBUS INDIA,INTERN,30000,,,,,,,,
100,INDEE SOFTWARE PVT LTD,VIDEO ENG/FRONTEND/BACKEND/AUTOMATION ENG,25000,,,,,7-8,Internship Only,,
101,WEWORK,BUSINESS ANALYST,15000,,,,,7.5,Internship Only,,
102,FORD BUSINESS SOLUTIONS,Embedded Software/Hardware Intern/HIL SImulation Testing Intern,15000,,,,,NA,Internship Only,,
103,BEYONDSQUARE,Software Engineer,,6,10,,,7,Performance Based FTE,,
104,ZIROH LABS,Swift Intern/Java Intern/C# Intern,20000,,,,,,Internship Only,,
105,NEWRON.AI,Java/Python/Gen Ai Intern,15000-30000,,5-8,,,NA,Performance Based FTE,,
106,SINGULARITY,Verification Engineer Intern,30000,,,,1,8,Internship Only,,
107,WOKELO.AI,Backend Develoepr Intern,30000,,,,,,Performance Based FTE,,
108,MANASTU SPACE TECH,Intern,15-20000,,3-8,,,7.5,Performance Based FTE,,
109,ZETA,Customer Success Engineer - Intern,40000,,,,2,6.5,Performance Based FTE,,
110,CATALINA SYSTEMS,INTERN,35000,,,,2,7,Internship Only,,
111,SENTINELONE,SWE/MALWARE/WINDOWS INTERN,40000,,,,4,8,Performance Based FTE,,
112,MULTILEX TECH,SDE INTERN,5000,,,,,NA,Internship Only,,
113,NIRO,Risk & Data Analytics,30000,,,,,NA,Internship Only,,
114,BASAL ANALYTICS,Junior Python/AI Developer,10-25000,,,,,NA,Internship Only,,
115,75F SMART INNNOVATIONS,Manual Testing,12000,,,,,7,Performance Based FTE,,
116,WEDez,Intern,0,,,,5,NA,Internship Only,,
117,NEEDIBAY,Business Development Intern,15000,,8.5,,6,NA,Performance Based FTE,,
118,BLINKIT,Assistant Store Manager,15000,,3,,,,Performance Based FTE,,
119,MOENGAGE,Software Engineer Intern,50000,,,,10,7.9,Performance Based FTE,,
120,HEVO ,INTERN,,,,,,8+,Performance Based FTE,,
121,NTT DATA,INTERN,,,,,,NA,Performance Based FTE,,
122,PRIMENUMBERS TECH,Python Devloper/Software Engineer,35000,8,10,,,7,Performance Based FTE,,
123,ZLURI,SDE/SDET,35000,,,,,NA,Performance Based FTE,,
124,IMPACT ANALYTICS,Software Engineering Backend Intern,,,,,,6.5,Performance Based FTE,,
125,SYMPHONY AI,Full Stack/AI Engineer/Devops/Perf Engineer,30000,,,,,,Performance Based FTE,,
126,HYPERVERGE,Billings and Receivable /TA/Operation Intern,20-25000,,5-7,,,,Performance Based FTE,,
127,SIFIVE,Intern,40000,,,,3,NA,Performance Based FTE,,
128,FROKER,Intern,,,,,,,Performance Based FTE,,
129,INFORMATICA,Associate Software Engineer Apprentice,35000,11,17,,,,Performance Based FTE,,
130,BLOWHORN,Intern,,,,,,NA,Performance Based FTE,,
