#,Company Name,Job Title,Compensation,,,Jobs Offered,"CGPA 
Cut-off",Remarks,,,
,,,Internship,Base,CTC,Selected,,,,,
1,ACCENTURE,Associate Software Engineer,,4.5,4.5,12,6.5,Another drive was conducted for PWD students also,,,
2,DXC,Associate Professional,,4.5,4.5,,6.5,,,PLACED,59
3,SECPOD,Product Content Marketer,25000,5,6,2,NA,Performance Based FTE,,,
4,IBM-CIC,Associate System Engineer,,4.5,4.5,4,6,,,Internship Average,18966.67
5,GYANSYS,Associate Consultant/Software Engineer,20000,,4.5,0,8,,,Internship Median,20000
6,CUBIC LOGICS,Software/Support Specialist ,10000,,3.6,4,7,Performance Based FTE,,,
,,,,,,,,,,Base Average,4.7
7,MICROLAND,Engineering Trainee,,,4,9,6,2 Year Bond,,Base Median,4.5
8,PUBLICIS SAPIENT,Trainee Technology,,4.2,4.48,,NA,,,,
9,LS DAVAR,Patent Engineer,,,3.6,,7,,,CTC Average,5579.25
10,RENDERED IDEAS ,Game Developer,,,4.2,,NA,,,CTC Median,5
11,HCL,Graduate Engineer Trainee,,,4.25,,,1 Year Bond,,,
12,OBHAN & ASSOCIATES,Technical Consultant,,,5.5,,,,,,
13,DEXIAN,Tech Roles,20000,,6,,7,,,,
,,Tech Support,20000,,6,,7,,,,
14,MILLER KNOLL,TRAINEE ENGINEER,,,4.16,,7,,,,
15,HSO ,,,,5,,7,Second Year - 7.2 CTC,,,
16,MPHASIS,Software Engineer,,,6,,,,,,
17,SAGILITY,ASE/Analytics/Automation,,,5.5,,6.5,,,,
18,LOGIXAL,Trainee Software Engineer,,,5,,6.5,,,,
19,IQGATEWAY,Associate Software Developer,,,6,,7,"2.4 LPA in first 3 Months,6 LPA afterwards+2 years Bond",,,
20,GREAT LEARNING,Senior Executive Digital Marketing,,6,6.6,,NA,,,,
21,BIGBASKET,Associate Consultant,,6,7,,6,,,,
,,Software Engineer-1,,,8,,,Female Students Drive,,,
22,FEDERAL BANK,Associate in Non-Officer (Clerical) Cadre for Branch Banking Role,,,5.98-6.10,,NA,,,,
23,TECH MAHINDRA,Graduate Trainee,,,3.25,7,NA,,,,
24,ASCENDION,Associate Engineer,,,4-5,,6.5,,,,
25,GNANI.AI,AI Engineer,,,4,,8,,,,
26,SOPHISTEX,Junior Software Engineer,,,4.5,,7.5,,,,
27,CGI,Associate Software Enigneer,,,3.91,,6,,,,
28,RIGHT PROMPT TECH ,,25000,,5.25,,8,,,,
29,EXIMIETAS,Engineer,,,5,,,,,,
30,ADAPT READY,,,,4,,,,,,
31,SIEMENS GAMESA,BI Developer,,,6,,7,,,,
32,COFORGE,,,,4.25,,,2 Years Bond for 1.5 Lakhs,,,
33,PEDALSTART,Full Stack Developers/Graphic Designers/Social Media Manager,15-20000,,4-7,,,,,,
34,TERRALOGIC SW SOLN,,,,3-3.5,,,,,,
35,TECH MAHINDRA,,,,3.5,,,,,,
36,SKYDO TECH,Customer Success Associate ,,,6,,7,,,,
37,RUPEEK,ARM,12700,,4,,NA,,,,
38,DELTAX,Customer Success/Support,,,3,,NA,,,,
39,HUMANETICS,Software Engineer ,,,1,,6,,,,
40,EVIDEN(ATOS),Board Design Engineer/Test Engineer/Junior Associate,,,4.2,7,7,,,,
41,SHOPDECK,GROWTH CONSULTANT,,,6,3,NA,,,,
42,VODAFONE,Graduate Engineer Trainee,,4.75,5,,6,,,,
43,BEML,Junior Executive,,,3.6,,6,,,,
44,NRT,Embedded Engineer,,,,,NA,,,,
45,WINMAN ,Product Software Programmer,,,4-6,1,7,,,,
46,LIQUIDE,Business Development Associate,,4.5,5.5,,6,,,,
47,ISteer Technologies,Gen AI,,3,4,,,,,,
48,VNB,Dev,,,3.71,,7,,,,
49,RAPYUTA ROBOTICS,Infra Ops/SWE/Cyber Sec/Devops,,,,,,,,,
50,XURMO,Software Engineer ,,,2.5-3,,8.5,,,,
51,NEXT WEALTH,Quality ,,,5-8,,,,,,
52,COGNIZANT,,,,4-6,10,6,,,,
53,COGENT INFOTECH,US Staffing Recruiter,18000,,4.25,,NA,,,,
54,INVICTUS,Junior Researcher,20000,,5-8,,,,,,
55,CAPGEMINI,Software Engineer,,,4-6,,NA,,,,
56,PROBE,Tech Lead,,,,,NA,,,,
57,XPHENO,Tech Support ,,,5.5,,,,,,
58,ASHTAKSHA LABS,Junior AI/ML Engineer,,,3.5,,8,,,,
59,LTMINDTREE,Graduate Engineer Trainee,,,4,,6,,,,
60,HIREPRO,Python Developer,,,5.1,,6,,,,
61,TEMENOS,Dev/Testing,,,6.1,,7.5,2 years Bond,,,
