,,,,,,,,,,,,
,Tier - 2,,,,,,,,,,,
,Name,Job Title,Compensation,,,FTE,FTE+Intern,Intern,PPT,Test Date,Interview,Additional Information
,,,Internship Stipend,Base,CTC,,,,,,,
41,Pelatro Solutions,Trainee Engineer,-,,6.5,,-,-,04-01-22,04-01-22,"05-01-22
06-01-22",
42,TekenLight Solutions,Java Developer,-,,5.5,,-,-,,,,
43,Tejas Networks ,Product Verification,,,7.5-8,,,,,,,
44,VRIZE,Software Engineer,15k,,7-15,,,,,,,
45,CitiusTech,Trainee Software Engineer,-,,5.5,6,-,-,,,,
46,NPCI,Graduate Engineer Trainee,-,5,6.85,,,,,,,
47,Allstate,Associate Consultant,-,5.5,6.5,,-,-,-,11-01-22,,
48,CoffeeBeans Consulting,Associate Consultant,-,,9,,-,-,,,,
49,Yara Digital Farming,Software Engineer,-,,7.2,,,,17-01-22,17-01-22,,
50,Byteridge,Software Development Engineer,,,5.33,,,,,,,
51,Mphasis,Associate Software Engineer,-,5.8,6,,,,,19-01-22,"25-01-22
27-01-22",
52,Indegene,SDE,-,,8,,,,,,,
53,Wakefit,Associate Software Engineer,25k,,6 - 8,,,,,,,
54,TATA iQ,Analyst Analytics Services,-,,5.5,,,,,,,
55,Tata Power,GET,-,,,,,,22-01-22,,,
56,Axis Bank,IT Deputy Manager ,-,,8,,,,,,,
57,Adani Group,GET.,-,5.62,6,,,,,,,
58,FreightDeck,Product Delivery,12k,,"6(CS)
5.4(Non CS)",-,,-,,03-02-22,,
,,Software Developer,,,,,,,,,,
59,Uptycs,Software Engineer,25k,8,8 + Insurance,,,,,,,
60,Krypt,Associate Analyst,-,,8,,,,31-01-22,31-01-22,,
61,Y Media Labs,Associate Software Engineer,,,5.5 - 6.5,,,,,,,
62,iSchoolConnect,Full stack,15k,,6 - 8,,,,,,,
,,Platform Engineers,,,,,,,,,,
,,Automation Testers,12.5k,,,,,,,,,
63,Temenos,Software Engineer,-,5.5,6.3,,,,,,,
64,KreditBee,Software Engineer,,6,"8
(Non CS)",-,7,12,,,,
65,Vlinder Labs,Associate Engineer,25k,,7,,,,,,,
66,Wakefit,Associate Software Engineer,25k,,6 - 8,,,,,,,
67,Manhattan Associates,Software Engineer,-,,8,,,,,29-02-22,,
68,Sonata,"Trainee Digital 
Technology Specialist",-,,6,,,,,,,
69,Alshaya,Application systems engineer,-,,7.6,,,,,,,
70,Byju's,Associate - Content Development,-,5,6,,,,09-02-22,09-02-22,10-02-22,
,,Associate - Creatives,,,,,,,,,,
,,Academic Specialist,,4,,2,-,-,,,,
71,Infovity,Software Engineer,-,,8,,-,-,,15-02-22,,
72,"HARMAN 
Connected Services",Associate Developer,10k,,5.5,-,3,-,,,,
73,Prodapt Solutions,Software Engineer,-,,5.5 - 7.5,,,-,,,,
74,Krishworks ,SDE 1,15 - 20k,,5 - 6,,,,,,,
75,Justdial ,QA Testing,-,,5 - 6,,,,,,,
76,Dell Technologies,Sales Operations Analyst,,,,,,,,,,
77,Coditas Solutions LLP,Associate Software Engineer,-,,6,,,-,,,,
78,Prodapt Solutions,Software Engineer,-,,5.5 - 7.5,,,-,,,,
79,More Retail,Engineering Trainee,-,8,8.5,3,-,-,,,,
80,Skuad Lab,Software Developer,-,,8,,,,,,,
,,Data Engineer,,,,,,,,,,
81,Iopex technologies,Trainee Engineer,-,,6,,,,,,,
82,Just Energy,Business Analyst Trainee,-,,7,,,,,,,
83,Skypoint Cloud,Data Engineer,-,,,,-,-,,,,
,,Data scientist,,,,,,,,,,
,,Application Engineer,,,,,,,,,,
84,Neos HealthTech,Backend Developer,10k,,8.4,,,,,,,
85,Elsevier,Software Engineer 1,-,,7.1,,-,-,31-03-22,,,
86, Relevance Labs,Junior Developer,-,,5.5,,,,,,,
87,Freshworks,Software Engineer - Development,20k,,7.5,,,,,,,
,,Software Engineer - Test,,,,,,,,,,
88,ESI Software,Software Development Engineer,-,,5.5,,,,,,,
89,IVY,Trainee Software Engineer,-,,8.11,,,,,,,
90,BlueBird,Software Engineer,-,,5.5 - 6.5,,,,,,,
91,Microland ,Graduate Engineering Trainee,-,,7,,,,,,,
92,"Star Health and
 Allied insurance",Software Engineer,-,,5 - 7.5,,,,,,,
