,,,,,,,,,,,,
34,Anora ,Graduate trainee,-,,4 - 4.5,,,,,,,
35,Billsafe Technologies,Tech Development intern,20k,3.6,4,,,,,,,
36,TuringMinds.Ai,ML Analyst,-,,4,,,,,,,
,,Data Scientist,,,5,,,,,,,
37,Mountblue Technologies,Software Engineer Trainee,-,,4,,,,,,,
38,Nivetti Systems,Software Engineer,-,,3 - 4,,,,,,,
39,NeoSOFT Technologies,Trainee Software Engineer,10k,,3.6,,,,,,,
40,Ericsson,Associate Engineer Trainee,20k,,4.5,-,12,-,03-03-22,03-03-22,04-03-22,
41,Simplilearn ,Software Development Engineer,-,5.25,6.25,,,,,,,
,,"Software Development 
Engineer in Test",,4.5,5.5,,,,,,,
,, Learning Designer -1,,4.5,5.5,,,,,,,
42,Altisource,Software Engineer,-,,4.5,,,,,,,
43, ITC Infotech,Associate IT consultant,-,,4.25,2,-,-,,,01-04-22,
44,AxisCades,Graduate Engineer Trainee,-,,3.2,,,,,,,
45,7edge,SDET,-,,2.4 - 5.5,,,,,,,
46,Tata Technologies,Graduate Engineer Trainee,-,,4.65,15,,,,,,
47,Monocept,Trainee Software Engineer,-,,4.5 - 6,,,,,,,
48,H3Mart,Sales,-,,3.5,,,,,,,
,,Inside Sales,,,4,,,,,,,
49,Valued Epistemics,Graduate Sales Trainee,22k,3.5,4.7,,,,,,,
50,Pentagon Space,Full Stack Developer,-,,3.5 - 10,,,,,,,
51,Ditto Insurance,Insurance Advisor,-,,4.5,,,,,,,
52,Merkle Sokrati,Associate Business Analyst,-,,4.6,,,,,,,10k for first 6 months following which pay will become 38.3k
53,KibbCom, Software Engineer,-,3.29,3.5,,,,,,,
54,"Bosch Automotive
 Electronics",Graduate Apprentice,-,,4.5,,,,,,,
55,Pepper Cloud,Full Stack Engineer,-,,5,,,,,,,
56,Careerlabs Technologies,Full Stack Java Developer,-,,4.5 - 8.5,,,,,,,
,,Full Stack Dot Net Developer,,,,,,,,,,
,,Full Stack Python Developer,,,,,,,,,,
,,Associate Software Engineer ,,,,,,,,,,
57,Specbee,Software Developer,,,3.5 - 4,,,,,,,
58,Mastek,Software Engineer,,,3.6 - 5,,,,,,,
59,"AceMicromatic 
Manufacturing 
Intelligence Technologies",Software Engineer,-,,3.5 - 4.6,,,,,,,
,,Field Engineer,,,,,,,,,,
60,DXC Technology,"Senior Assistant Service 
Delivery Coordinator",-,2.8,3,,,,,,,
61,Mastek,Software Engineer,,,3.6 - 5,,,,,,,
62,"NSOFT 
Services Pvt Ltd",Dot Net Developer,15k,,3,,,,,,,
63,Weir EnSci,Software Engineer,,,4.5,,,,,,,
64,"Stratogent Technology 
Services",Software Engineer,,,3.2 - 3.6,,,,,,,
65,Cube,"Business Development
 Executive",-,,4,,,,,,,
66,Bhanzu,"Marketing Strategic
 Partnership -Executive",-,,3,,,,,,,
67,"Bosch Global 
Software Technologies",Embedded development,-,,6,,,,,,,
,,Application Development,,,,,,,,,,
,,System Testing,,,,,,,,,,
,,SAP,,,,,,,,,,
,,R&D,,,,,,,,,,
68, APAR PeopleWorld,Software Engineer,-,,4,,,,,,,
69,Miller Knoll,Trainee Engineer,-,,4.5,,,,,,,
70,"Synchronoss 
Technologies",Trainee Software Engineer,-,,4.6,,,,,,,2 year bond
71,OneDirect,"Associate, Client Care",-,3.6,4,,,,,,,
72,Square Yards,Associate Investment manager,-,,4.5,,,,,,,
73,"NTT DATA FA 
insurance systems ",Software Engineer,-,,3.76,,,,,,,
