,,,,,,,,,,,,
,Tier - 3,,,,,,,,,,,
,Name,Job Title,Compensation,,,FTE,FTE+Intern,Intern,PPT,Test Date,Interview,Additional Information
,,,Internship Stipend,Base,CTC,,,,,,,
1,QuEST Global,Trainee Engineer,-,,3.25,,,,,,,
2,TCS (Ninja Hiring),,-,,3.36 + 0.6 (OTI),,,,,,,OTI - One time incentive
3,The Math Company,,-,4.5,,-,7,-,14-08-21,"15-08-21
15-10-21","17-08-21
18-10-21","4.5 1st year
ctc over 5 years is 41 with 12L esops(based on performance)
25% increment every year"
4,Mu Sigma,,-,3.5,,,,,,28-08-21,,"3 base with 50 bonus 1st year
ctc over 4 years is 30
bonus not fixed, may increase based on performance"
5, Cognizant,GenC Elevate,-,,4+bonus,103,-,-,,,,
,,GenC,-,,4,118,-,-,,,,
6,Infosys,Systems Engineer,-,,3.6,,,,,,,
7,Robert Bosch,,-,,5,53,-,-,15-09-21,16-09-21,17-09-21,
8,"L&T Technology
Services Limited",,-,,4,,,,,"20-09-21
21-09-21
22-09-21
23-09-21
24-09-21",,
9,EY,Tech Consulting - Cyber,-,,4.37,,,,22-10-21,21-10-21,23-10-21,
,,Risk Consulting - Tech Risk,,,,,,,,,,
10,EOX Vantage,Jr Developer,10k,,3.5-6,-,2,-,13-10-21,12-10-21,13-10-21,
,,Data Security,,,,-,3,-,,,,
11,Deevia Software,Software Engineer,10k,,5,1,-,2,,13-11-21,,
12,HCL,"GET - Identity and 
Access Management",,,4.75,,,,,,,
,,GET,,,,,,,,,,
,,GET - DRYice,,,,,,,,,,
,,GET - INFRA,,,,,,,,,,
,,"GET - GRC and
 Information Security",,,,,,,,,,
13,Atos,Trainee,,,3.1,,,,05-12-21,05-12-21,07-12-21,
14,Kofluence,Operations,10k,4,5,-,2,-,-,24-11-21,27-11-21,
,,Product Management,,,,-,4,-,,,,
,,Software Engineer,,,,-,3,-,,,,
15,Atos Global,Software Engineer,-,,3.1,,,,05-12-21,05-12-21,07-12-21,
16,CGI,Software Engineer,-,,3.5-4.25,,,,09-12-21,09-12-21,15-12-21,
17,Prodapt Solutions,Software Engineer,-,,4-7.5,,,,,18-12-21,,
18,Infobell IT Solutions,Jr. Systems Engineer,20k,,5,,,,21-12-21,21-12-21,21-12-21,
,,Systems Engineer(AMD),15k,,4.8,,,,,,,
19,FACE Prep,Placement Mentor,-,2.4,3.06,,,,,,,
20,"Moonraft
 Innovation Labs",Software Engineer,-,,3.5-4.5,5,-,-,,,,
21,PK Global,"Software Engineer
Level 2",-,,5,,,,,,,
22,VRIZE,Associate Software Engineer,15k,,4.5,,,,,,,
23,Sasken ,Associate Software Engineer,-,,5,,,,,,,
24,Bristlecone,Associate Consultant,-,,4.25,,,,,31-03-22,,
25,"Renault Nissan 
Technology Business 
Centre India",Graduate Engineer Trainee,-,,4.25 - 4.75,,,,,,,
26,DataBeat,Data Analysts (.NET),,,4-6,,,,,,,
27, Maveric Systems,"Technical Associate 
 Core Banking",15k,,4.5,,,,,19-01-22,,
28,DIATOZ Solutions ,Software Engineer,14.9k,,3 - 5,-,,-,,,,
29,Apexon,Associate Trainee,-,,4 - 4.5,,-,-,,,,
30,Infoview,Trainee,15k,,3.5,,,,,,,
31,Utthunga Technologies,Project Trainee,-,4.4,5,,-,-,,,,
32,Birlasoft,Trainee Engineer,-,,3.6,,,,,,,
33,Titan,Graduate Engineer Trainee,-,,5,,-,-,,,,
