,,,,,,,,,,,,
,Tier - 1,,,,,,,,,,,
,Name,Job Title,Compensation,,,FTE,FTE+Intern,Intern,PPT,Test Date,Interview,Additional Information
,,,Internship Stipend,Base,CTC,,,,,,,
,HPE (through project),,,,11.5,6,,-,,,,
,Morgan Stanley(through summer internship),,,13,25,16,,-,,,,
,Groww(through summer internship),,,,20,2,,-,,,,
,Akamai(through summer internship),,,11,18,13,,-,,,,
,Cisco(PPO),,,13,18.2,3,,-,,,,
,Dell(through summer internship),,,,,1,,-,,,,
,Goldman Sachs(through summer internship),,,16,23,5,,-,,,,
,Intuit(through summer internship),,,15,32,3,,-,,,,
,JP Morgan(through summer internship),,,,,9,,,,,,
,Pronisi(through summer internship),,,,,7,,,,,,
,Samsung(through summer internship),,,,,5,,,,,,
,SAP Labs(through summer internship),,,,,2,,,,,,
,Visa(through summer internship),,,15,23,6,,,,,,
,Walmart(through summer internship),,,16,22.62,3,,,,,,
,Zscaler,,,,,4,,,,,,
1,Ansys,,,,30,-,1,-,,,,Only ECE
2,CRED,Backend Dev,60k,20,40,-,2,-,13-08-21,15-08-21,16-08-21,
3,IBM,Software Dev,30k,11,11.5,-,10,7,14-08-21,"17-08-21
 21-08-21",30-08-21,
,,Data and Technology Consultant,-,,,,-,-,,,,
4,Intuit,Software Engineer,80k,15,32,-,1,-,17-08-21,17-08-21,18-08-21,
5,Gameskraft,Software Engineer,50k,15,32,-,1,-,16-08-21,16-08-21,-,
6,Couchbase,Software Engineer R&D,1.25L,20,30,-,2,-,19-08-21,-,20-08-21,
,,Software Engineer QE,93k,15,25,-,1,-,,,,
,,Technical Support Engineer,93k,15,24,-,1,-,,,,
7,Commvault System,Associate Engineer,40k,13.75,29.25,-,4,4,20-08-21,20-08-21,23-08-21,
8,Razorpay,Software Dev Engineer,-,13.8,29,-,2,-,-,22-08-21,24-08-21,
,,Data Associate,,7,9,1,-,-,-,25-11-21,"27-11-21
29-11-21",
9,Hevo Data,Software Dev Engineer 1,50k,15,28,-,7,3,-,21-08-21,21-08-21,
,,SDET,,11,24,-,-,2,,,,
10,Udaan,Software Engineer,35k,20,35,-,3,-,-,"22-08-21 
23-08-21 ",25-08-21 ,
11,Morgan Stanley,Technnology Analyst,87k,13,25.33,-,3,-,25-08-21,25-08-21,27-08-21,
12,Citrix,Software Engineer 1,60k,12.5,23.74,-,3,5,-,29-08-21,31-08-21,
13,HPE,SDE(R&D),30k,10,11.5,-,9,10,-,28-08-21,03-09-21,
,,SDE(Aruba),,,,-,12,1,,,,
,,SDE(GreenLake),-,,10,,-,-,,,,
14,"CodeNation 
Innovation Labs",SDE,1.5L,30,36.5,,,,,,,
15,Goldman Sachs,Software Engineer,,16,23,-,1,-,02-09-2021,29-08-21,02-09-2021,
16,Clumio,Member of Techinal Staff,1L,20,23.4+RSU,,,,31-08-21,31-08-21,01-09-21,RSU - Restricted Stock Units
17,Navi Technologies,SDE - 1,-,20,27,1,3,-,01-09-21,01-09-21,04-09-21,
18,Komprise ,Software Engineer,30k,17.41,22,-,1,-,04-09-21,04-09-21,07-09-21,
,,Software Test Engineer,,15.54,20,-,1,-,,,,
19,Visa,Software Engineer,,15,27,-,9,-,-,02-09-21,06-09-21,
,,Technical Product Manager,,15,23,1,-,-,,-,,
20,Cisco,Software Engineer,65k,13,18.2,-,10,32,-,06-09-21,14-09-21,
,,Software Engineer Cloud Dev,,,,1,3,-,,,,
21,Zscaler,Developer,,,20.95,-,2,-,09-09-21,09-09-21,13-09-21,
,,Developer Test,,,17.45,-,-,2,,,,
,,Dev Ops,,,,-,1,2,,,,
22,VM Ware,Member of Techinal Staff,50k,13.45,27.9,-,14,1,-,12-09-21,"15-09-21
16-09-21",
,,Security Engineer,,,,-,1,-,-,14-11-21,22-11-21,
23,Walmart,Software Engineer 2,,16,22.62,-,8,2,-,17-09-21,20-09-21,
24,PlaySimple,Associate Software Engineer,20k,10,20,-,-,-,21-09-21,19-09-21,21-09-21,
25,Cloudera,Software Engineer,,17.87,22.7,-,3,-,-,24-09-21,29-09-21,
,,,,,,,-,-,,,,
26,Epsilon,Software Engineer,30k,9.5,13,-,14,-,15-09-21,12-09-21,20-09-21,
27,"Sandvine 
Technologies",Software Engineer,45k,12.5,15.25,-,3,-,18-09-21,20-09-21,22-09-21,
,,Software Test Engineer,,,,-,2,-,,,,
28,Ushur,Software Developer,40-50k,,9.5+RSU,-,2,3,24-09-21,24-09-21,26-09-21,RSU - Restricted Stock Units
