,,,,,,,,,,,,
29,SIXT R&D,SDE - 1,40k,,12.15,-,3,-,22-09-21,22-09-21,23-09-21,
30,Arista Networks,Software Engineer,65k,13.5,25,3,-,-,-,27-09-21,30-09-21,
31,Amagi Media Labs,Software Engineer,40k,14,17,-,7,-,29-09-21,30-09-21,02-10-21,
32,Vymo,Member of Techinal Staff,50k,,17,-,7,-,-,01-10-21,06-10-21,
33,MakeMyTrip,Software Engineer,-,12,18,-,4,-,-,02-10-21,06-10-21,
34,PwC,Technology Consulting,40k,7,9.08,-,67,-,05-10-21,05-10-21,07-10-21,
35,Cure.Fit,Software Engineer,-,20,29.5,1,-,-,06-10-21,06-10-21,08-10-21,
36,Akamai Technologies,Software Engineer,35k,12.31,18.33,-,1,-,-,09-10-21,12-10-21,
,,Site Reliability Engineer,,,,-,2,-,,,,
,,SDET,,10.26,15.16,-,3,-,,,,
,,Software Engineer,,12.31,18.33,-,5,-,,,16-12-21,
37,Infibeam,Software Engineer,20k,10,11,-,2,-,07-10-21,07-10-21,09-10-21,
38,Pluribus Networks,SDE ,75k,,15,-,1,-,08-10-21,08-10-21,11-10-21,
,,SDE QA,,,,-,1,-,,,,
,,Network Engineer,,,,,,,,,,Only ECE & EEE
39,Hiver (Female only),Software Engineer,21.5k,,9,-,2,-,-,13-10-21,"13-10-21
14-10-21",
40,Amadeus Labs,Software Engineer,30k,7.75,9.3,-,3,1,18-10-21,"18-10-21
18-10-21",19-10-21,
41,Schneider Electric,(Multiple Roles),25k,7.5,10.5,6,20,-,20-10-21,20-10-21,26-10-21,
,,Cybersecurity,,,,,,,03-02-22(3:30pm),03-02-22(5:30pm),"08-02-22(9am)
09-02-22(9am)",
42,Lam Research,SDE,,,15.79,-,2,-,13-10-21,18-10-21,20-10-21,"Only CSE, ECE"
,,Electrical Enginner,,,,-,3,1,,,,"Only EEE, ECE, E&I"
,,Mechanical Engineer,,,11.75,-,2,1,,,,Only Mech Students
43,Samsung R&D,Advanced Dev (Senior Engineer),50k,19,40,,10,10,-,13-10-21,20-10-21,
,,Advanced Dev (Engineer),,14,20,-,,,,,,
,,Design,,14,20,,4,2,,,,Only Design students
44,Natwest (Female only),Software Engineer,,10.5,10.5 + Benefits,-,18,-,21-10-21,16-10-21,21-10-21,
45,Affinsys AI,Software Engineer,30k,,14,-,5,,-,15-10-21,"17-10-21
18-10-21",
46,Mercedes Benz R&D,Graduate Engineer Trainee,25k,,10,2,17,-,19-10-21,24-10-21,27-10-21,
,,"Graduate Engineer Trainee
(Trucks Division)",,,,-,6,-,,,,
47,"Zee Entertainment
Enterprises Limited","Associate Software 
Development Engineer",-,12.6,15,11,18,-,22-10-21,23-10-21,03-11-21,
48,"Shadowfax
Technologies",SDE (Back end),-,,14,-,4,-,25-10-21,25-10-21,28-10-21,
,,SDE (Front end),,,,,,,,,,
,,Android Dev,,,,,,,,,,
,,DevOps,,,11,,,,,,,
,,Data Engineer,,,,,,,,,,
49,Sling Media,Software Engineer,,11,12.72,-,8,-,23-10-21,23-10-21,25-10-21,
50,IDFC First Bank,Application Engineer,-,11,15,5,-,-,26-10-21,26-10-21,30-10-21,
,,Management Trainee,,,,1,-,-,,,,
51,​Infineon Technologies,Engineer,32k,,12.22,,,,28-10-21,28-10-21,29-10-21,
52,Mentor Graphics,Member Technical Staff,30k,11.5,16.3,-,1,-,30-10-21,30-10-21,30-10-21,
53,HFCL,Graduate Engineer Trainee,-,9,10,6,-,-,-,06-11-21,09-11-21,
54,Newfold Digital,Operations Engineer,50k,12,15,-,1,-,01-11-21,"01-11-21
01-11-21",02-11-21,
,,Database Administrator,,,,-,1,-,,,,
55,Slice,SDE - 1,-,21,23,4,-,-,-,09-11-21,11-11-21,
56,Carl Zeiss,Software Engineer,-,9,10,5,-,-,12-11-21,10-11-21,12-11-21,
,,Computer Vision Engineer,,,,7,-,-,,,,
57,Genpact,Business Analyst,-,9.5,11.4,42,-,-,-,9-11-21,12-11-21,
,,.NET Developer,,,,,-,-,,,,
,,Data Scientist,,,,,-,-,,,,
,,Java Developer,,,,,-,-,,,,
58,PhonePe,Software Engineer - Testing,30k,13,18.75,1,3,-,08-11-21,08-11-21,10-11-21(9am),
59,Ather Energy,Graduate Engineer Trainee,,7,10,2,-,-,04-12-21,06-12-21,,
60,Amagi,SDET,,8,9.5,-,1,-,,02-11-21,09-11-21,
,,Devops,,,,-,7,-,,,,
61,Dover ,Software Engineer,25k,8,"(8-11) +
Joining Bonus",,,,,,,
,,Design Engineer,,,,,,,,,,
62,"ANZ Operations 
& Technology",Cloud and Data Engineer,-,,"9 + 
Variable",13,-,-,04-11-21,,,
,,Database Engineer,,,,,-,-,,,,
,,Infrastructure Engineer,,,,,-,-,,,,
,,Graduate Engineer,,,,,-,-,,,,
,,Networks Engineer,,,,,-,-,,,,
63,Wissen Technology,Analyst,,8,11,-,2,-,10-11-21,10-11-21,13-11-21,
64,G2.com,Software Engineer - 1,35k,,13,-,3,-,12-11-21,,,
65,Infoworks,Software Engineer,60k,15.7,22.37,-,1,1,-,14-11-21,"15-11-21
16-11-21",
66,Zoom,Security Engineer,-,13.75,24.92,-,6,-,17-11-21,19-11-21,,
,,Service Engineer,,,,,,,,,,
,,SRE/System Administrator,,,,,,,,,,
,,NOC Engineer,,,,,,,,,,
,,DevOps Engineer,,,,,,,,,,
67,Apple India,Network / Systems Engineer,,,,,,,,18-11-21,,
68,"Oracle Advanced 
Customer Services",Analyst,-,,9.54,15,-,-,,17-11-21,,
69,Gigsky,Software Engineer,40k,10.29,13.17,-,4,-,25-11-21,25-11-21,26-11-21,
70,Zopsmart,Software Engineer,,8.54,10,-,3,-,09-12-21,07-12-21,09-12-21,
71,Cashfree ,SDET,25k - 35k,8,10,-,3,-,29-11-21,30-11-21,02-12-21,
,,Devops,,,,,,,,,,
72,Rapido,Associate Product Engineer,-,15,23,,-,-,,,,
73,UiPath,RA Developer,-,9,16.2,,-,-,13-01-22,13-01-22,,
74,Perfios,SDE,15.5k,,8-10,-,1,-,,29-11-21,01-12-21,
75,Byju's, Software Engineer Trainee - QA,-,8,10,5,-,-,,,,
,,Software Engineer Trainee - Tech,-,12,15,,-,-,,,,
76,"Microchip 
Technology",Protocol System Test Engineer,21k,,10.6,1,10,,,08-12-21,"09-12-21
10-12-21",
,,Application/Firmware Engineer,,,,,,,,,,
77,Grab Greco LLP,Software Engineer,-,,17,,,,,,,
78,Instabase,Solutions Engineer,1L,18,30,,,,17-12-21,13-12-21,20-12-21,
79,EagleView,Software Engineer 1,-,,12,,-,-,,,,
,,Data Science Engineer 1,,,,,,,,,,
,,Cloud Engineer 1,,,,,,,,,,
80,CommScope,Software Engineer,-,10,14,,-,-,,12-12-21,,
81,Target,Data Engineer,-,11.5,13.3,5,-,-,-,"12-12-21
29-12-21",16-12-21,
82,Games24x7,SDE,30k,,20,-,11,1,-,14-12-21,17-12-21,
83,Yahoo,Associate Software Dev Engineer,,,10,-,1,-,,20-12-21,22-12-21,
84,Instamojo,Software Engineer,-,11.5,15,-,1,-,18-12-21,18-12-21,,
85,Netapp,Member technical Staff,-,13,15,,-,-,-,14-01-22,,
86,NXP Semiconductors,Analog VLSI / DFT Enginee,32.5k,,17.5,,,,,,,
87,Tiger Analytics,Analyst - Data Science,30k,9,10,-,6,-,,"10-10-21
10-10-21",,
88,OLA,SDE,-,9,10,5,-,-,-,24-12-21,27-12-21,
89,"New Street Technologies 
Private Limited",Software Engineer,20k,7,25,-,10,-,03-01-22,03-01-22,"05-01-22
06-01-22",
90,BetterPlace,"Associate Software 
Development Engineer",40-50k,12.5,14,-,4,-,,,,
91,Thinkerbell Labs,Software Dev,-,,"10-20
+ ESOPS",,,,,,,
,,Finance Associate,,,,,,,,,,
,,Business Associate,,,,,,,,,,
,,Business Dev (Intern),,,,-,-,,,,,
,,Web Development (Intern),,,,,,,,,,
92,Societe Generale,Software Engineer,-,,13.12,16,-,-,07-01-22,"07-01-22
08-04-22",10-01-22,
93,Sprinklr,Associate DevOps Engineer,40k,10,10 + RSU,1,2,,07-01-22,"08-01-22
31-03-22","10-01-22
11-01-22
05-04-22",
94,Whatfix,"Associate Technical 
Implementation Consultant",35k,8,"9 + 
2(Night Shift)",,,,,,,
95,Lookout,Software Engineer,-,9,"9 +
Stocks + Bonus",,-,-,25-01-22,25-01-22,27-01-22,
96,MediBuddy,SDE - 1,-,9,16.25,,-,-,27-01-22,27-01-22,,
97,Ninjacart,SDE,15k,,12,,,,-,01-02-22,,
98,Fractal Analytics,Imagineer,-,7.5,10.5,,-,-,,,,31 over 3 years
99,Dover,Design Engineer,25k,,"8 - 11
Joining Bonus",,,,,,,
100,Unbxd,Software Engineer,,9,11,,,,,,,
101,Dell Technologies,Sales Operations Analyst,-,,9,,,,,,,
102,SymphonyAI,Full-Stack Developer,-,,11,,,,,,,
103,Zwayam,Software Engineer,-,,12.5,1,-,-,,,,
104,Trilogy Innovations,SDE,-,30,36.5,,,,-,30-01-22,,
105,KreditBee,Software Engineer,-,"8 
(7gpa)(CS)",10,,,,,09-02-22,,
,,,,"10 
(8+gpa)(CS)",12,,,,,,,
106,Amazon,SDE,-,15.5,25,,,,,,,
107,Verse,ML Engineer,-,,10 - 12,,,,,,,
108,Instawork,SDE,-,,12 + ESOPS,,,,,,,
109,Unbxd ,Software Engineer,-,9,11,,,,11-02-22,,,
110,Landmark Group,Trainee Data Scientist,-,8.5,9,,,,,,,
111,Bain & Company,Analyst,,8.1,10,2,-,-,,,,
112,Netradyne ,Software Engineer,25k,11,11.5,,,,10-03-22,10-03-22,11-03-22,
113,Kyndryl,Automation Engineer,-,,11.5,,,-,,05-03-22,,
,,Developer,,,,,,,,,,
114,Prosimo,Member of Technical Staff,-,,15,,,-,,,,
115,Palo Alto Networks,Software Engineer,-,14.5,27,,,,,,,
116,Tila.com ,Associate Software Engineer,40k,,12 - 18,,,,,,,
117,Infinera ,SDE,-,11,11.55,,,,,,,
118,OakNorth ,Associate Technology Analyst,-,7,12,,,,,,,
119,Synopsys,SDE,-,11.75,15.03,,,,,,,
120,Infoedge (Female Only),Software Engineer,-,,14 - 15,,,,,,,
121,Innovaccer,SDE,,,15,,,,,,,
122,CommScope,SDE,,10,14,,,,,,,
123,"Tata Medical and 
Diagnostics Ltd",Graduate Engineer Trainee,,,9.1,,,,,,,
124,Wells Fargo,Program Associate,-,,20,,,,,,,
125,Capillary,SDE,-,,25,,,,,,,
126,Metro Global,Chatbot Engineer,15k,,9 - 12,,,,,,,
,,Machine Learning Engineer,,,,,,,,,,
,,Web Developer,,,,,,,,,,
,,Innovation Consultant,,,,,,,,,,
127,BEL,Probationary Engineer,-,,11.18,,,,,,,
128,GoodWorker,Associate Software Engineer,-,,15 - 20,,,,,,,
129,CommScope,SDE,-,10,14,,,,,,,
130,SymphonyAI,Associate Software Engineer,,,11,,,,,,,
131,Aster DM healthcare,Associate Engineer,25k,,10,,,,,,,
132,Google,Software Engineer,,~16,,1,-,-,,,,
133,DPDZero,Full Stack Engineer,-,,12,,,,,,,
134,Dyeus,Web3 Developer,60k,,9 - 12,,,,,,,
135,e6data,"Performance and 
Research Engineer",-,,"8 - 15 
+ ESOPS",,,,24-05-22,24-05-22,,
136,"Compute Edge Wireless
(EdgeQ)","5G Systems and 
Communications Algorithm 
Engineering",50k,18.5,22.5,,,,,,,
,,"ASIC , SoC and Hardware 
Systems Engineering",,,,,,,,,,
,,5G PHY Firmware,,,,,,,,,,
,,5G S/W Engineering,,,,,,,,,,
137,Lookout,Software Engineer,,9,9.45 + ESOPS,,,,,,,2500 ESOP Units
138,"EXIGER 
TECHNOLOGIES","CPU Architecture 
Verification Engineer",-,,10,,,,,,,2 years bond worth 2 lakhs
