,,,,,,,
Total Placed (CSE) ,,162,RVCE,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Company,Date of OA,CTC,Type,Offers (CSE only),Role,Any comments/questions/topics asked ,
EGDK,,"13.05 LPA, 25k intern",FTE + Internship (PBC) ,4,SDE 1 ,37 shortlisted ,
Symphony ,,"6-7 LPA, 25-30k intern",FTE + Internship (PBC) ,0,AI Engineer,,
Zenshastra,25/01/2025,"7 LPA, 15k intern",FTE + Internship (PBC) ,0,AI consultant ,7 shortlisted ,
Microsoft ,,"51 LPA, 1.25L intern",FTE + Internship,0,Cloud Network Engineer,7 shortlisted,
Bidgely ,,"8-9 LPA, 30k intern",FTE + Internship (PBC),0,SDET,15 shortlisted,
Iron Mountain,,"9.7 LPA, 30k intern",FTE + Internship ,3,Associate Software Engineer,,
Volvo Cars,24/01/2025,40k intern,Intern only,7,Software,14 shortlisted,
Appndevices Technology,,"3 LPA, 10k intern",FTE + Internship,0,Software,,
Swiggy,,"8-16 LPA, 40k intern",FTE + Internship (PBC),0,Engineering Intern,,
Omnissa,,"17.5 LPA, 1L intern",FTE + Internship,3,Software,12 shortlisted,
SISA,,1L intern,Intern only,0,AI/ML & Cybersecurity,,
Tyfone,,8 LPA,FTE,0,"Software Engineer, QA Engineer",4 shortlisted,
IBM Consulting,31/01/2025,4.5 LPA,FTE,0,Associate System Engineer,,
Tredence,5/2/2025,12 LPA,FTE,0,Data Science Analyst,,
BigBasket,,4-5 LPA,FTE,0,Category Management & Stock Management,14 shortlisted ,
Delta Electronics,,8.5 LPA,FTE + Internship (PBC),0,Trainee,,
Philips,,"11.5 LPA, 45k intern",FTE + Internship (PBC),2,Software Intern,14 shortlisted ,
Winman,,3.75-6 LPA,FTE + Internship,0,Software Engineer,,
Candescent ,,"12 LPA, 30k intern",FTE + Internship ,4,Software,9 shortlisted ,
Whatfix,,"10-12.5 LPA, 35k intern",FTE + Internship (PBC),0,Sales Engineering,,
Aquera,,"5.6 LPA, 30k intern",FTE + Internship (PBC),0,Software,,
Merkle,,7 LPA,FTE,0,Software Engineer/Analyst,8 shortlisted,
MSG,,"6.5 LPA, 22k intern",FTE + Internship,0,Software,,
Akamai Technologies,,15.45 LPA,FTE ,0,"SDE, SDET",,
Nielsen,,"7.5-8 LPA, 35k intern",FTE + Internship (PBC),0,"Data Engineer, Data Scientist, Business Intelligence Analyst",,
Arvind Limited,,12.5k intern,Intern only,0,"Automation, Innovation, Research",,
NTT Data ,21/02/2025,"5-8 LPA, 20k intern",FTE + Internship (PBC),0,Software,,
Progress Software,,30k intern,Intern only,0,Software,6 shortlisted,
Century Real Estate Holding,,5 LPA,FTE,0,Management Trainee – Sales Role,5 shortlisted ,
Swiggy ,,"8-16 LPA, 40k intern",FTE + Internship (PBC),0,Project Management,,
Bright Money,,"15-17 LPA, 25k intern",FTE + Internship (PBC),0,"SDE, SDET, Data Science, Analyst",,
Impact Analysis ,,"6-8 LPA, 15k intern",FTE + Internship (PBC),0,"Backend, DevOps",,
Siemens Technology & Services,,"6.5 LPA, 41k intern",FTE + Internship (PBC),1,Software,,
CapFront Technologies,,"4.8 LPA, 35k intern",FTE+ Internship,0,"Data Analyst, QA, Developer ",,
Strides Pharma,,3.5 LPA,FTE,0,Graduate Engineer Trainee - New Technologies,,
Thoughtworks,,11.1 LPA,FTE,1,Application Developer - Associate,,
Sigmoid Analytics,21/03/2025,"6 LPA, 25k intern",FTE + Internship,0,Sales Intern,36 shortlisted,
Plasmid Innovation,,"4-6 LPA, 17k intern",FTE + Internship,1,Business Development Executive,,
EXXAT,,"10-12 LPA, 25k intern","FTE + Internship (PBC), FTE",,"SDE1, Frontend, Backend",,
Draup,,11.78 LPA,FTE,,Associate Consultant,,
FractalHive,,"3.6 LPA, 10k intern",FTE + Internship (PBC),,Product Development,,
ShadowFax,,"6 LPA, 20k intern",FTE + Internship (PBC),,DevOps,,
KristalBall,,"4-8 LPA, 15k intern",FTE + Internship (PBC),,"Software, AI, Hardware",,
Sigmoid BA,,6 LPA,FTE,,"Business Analyst, Scrum Master",,
Flipkart ,14/04/2025,"32.57 LPA, 1L intern",FTE + Internship,,SDE 1 ,,
TSALLA Aerospace Technologies ,,"3.6-4.2 LPA, 15k intern",FTE + Internship (PBC),,Electronics,,
Speridian Technologies Pvt. Ltd. ,,3.75 LPA,FTE,,Trainee Associate,,
U Pay,,"7 LPA, 30k intern",FTE + Internship (PBC),1,Software,,
Decision Tree,,10.5 LPA,FTE,,Software,,
Eightfold AI,,37.5 LPA,FTE,,Product Solutions Expert 1,,
GammaStack,,"4.15-5 LPA, 10k intern",FTE + Internship,,Solution Engineer,,
Cube ,11/4/2025,"6-8 LPA, 8k intern",FTE + Internship (PBC),,Strategy and Growth Associate,,
Licious,4/4/2025,"11 LPA, 30k intern",FTE + Internship (PBC),,Software,6 shortlisted,
Lemnisk,,14-15 LPA,FTE,,Software Engineer ,12 shortlisted,
Tessell,9/5/2025,"22 LPA, 80k intern",FTE + Internship (PBC),1,Member of Technical Staff,,
Zeroto1,,"9 LPA, 40k intern",FTE + Internship (PBC),,Software,,
ShadowFax,,"6 LPA, 20k intern",FTE + Internship (PBC),,Data Engineer,3 shortlisted,
SecPod,,"6 LPA, 25k intern",FTE + Internship ,,"Security Research Engineer, Software Engineer - QA / Dev, Software Engineer - UI",,
Barracuda Networks,,7 LPA,FTE,,Cybersecurity,,
Esyasoft,21/04/2025,8 LPA,FTE,,Software,14 shortlisted,
Qualcomm,9/5/2025,30 LPA,FTE,1,Software Engineer,,
Scaler Academy,17/05/2025,10 LPA,FTE,,Business Development Associate,,
Adapt Ready,,"4.5 LPA, 30k intern",FTE + Internship (PBC),,"AI/ML, Full Stack Development",,
SAP ,,20 LPA,FTE,,Business Technology,,
Trelix,,"14.5 LPA, 28k intern",FTE + Internship (PBC),,Software,,
Deloitte ,,"7 LPA, 25k intern",FTE + Internship ,,Technology & Transformation – ET&P: SAP Analyst,,
Meesho ,,50 LPA,FTE,,Data Scientist - 1 ,,
Sigmoid ,12/5/2025,"8 LPA, 20k intern",FTE + Internship,1,Data Scientist,,
Flexera,,12.5 LPA,FTE,1,Software,,
MSG Global Solutions,,"6 LPA, 22k intern",FTE + Internship (PBC),,Software,,
Progress ,,"10 LPA, 40k intern",FTE + Internship (PBC),,Software,,
Hero MotoCorp (HMCL),,20k intern,Intern only,,Market Research,,
Enphase Solar Energy ,,11.5 LPA + 10L stocks ,FTE,,Associate Engineer – Security Development,,
Greenlight,3/6/2025,"23 LPA, 50k intern",FTE + Internship (PBC),1,Software,22 shortlisted,
Nurix,,"10-20 LPA, 80k intern",FTE + Internship (PBC),,Software,8 shortlisted,
Dyyota Tech,,"6-12 LPA, 15-25k intern",FTE + Internship (PBC),,Full Stack Developer ,,
Procore,30/05/2025,15 LPA + 20k USD RSUs + 5% variable,FTE,3,Software Engineer,,
CSFirst,,18 LPA,FTE,,AI Support Engineer for Codeium,,
Marelli,,7 LPA,FTE,,Software,,
Schneider Electric ,,12 LPA,FTE,,Cybersecurity,,
Crio.Do,,"8-10 LPA, 40k intern",FTE + Internship (PBC),,Product Engineer - Intern,,
GCC Kobie,11/6/2025,15-24 LPA,FTE + Internship (PBC),,Associate Developer,34 shortlisted,
Edelman,,9 LPA,FTE,,Software,,
KPMG Global Services,24/06/2025,5 LPA,FTE,,Software,,
Impact Analytics ,8/6/2025,"6 LPA, 15k intern",FTE + Internship (PBC),,Software,,
Life Sight,,20-30k intern,FTE + Internship (PBC),,Product Analyst,,
OptInn Solutions,,"5-7 LPA, 15-20k intern",FTE + Internship (PBC),,Graduate Trainee,,
Ring Central,,"28 LPA, 50k intern",FTE + Internship ,,SDE 1 ,,
OBS India,,8 LPA,FTE + Internship (PBC),,Software Engineer,,
Skyworks,,"23.97 LPA, 55k intern",FTE + Internship ,,Software,,
GrayMatters,20/06/2025,6 LPA,FTE,,Software Engineer,14 shortlisted,
Robylon.ai,,7 LPA,FTE,,Integration Engineer,,
PowerShield,,4.2 LPA,FTE,,Support Specialist,,
OptInn Solutions,,3.5-5 LPA,FTE + Internship (PBC),1,Graduate Engineer Trainee ,,
Conduent ,,4.67 LPA,FTE,,Software,,
Schmooze,,6-10 LPA,FTE,,Events and Marketing Executive,,
Use Ready,,"5 LPA, 20k intern",FTE + Internship (PBC),,AI/ML Intern,,
Encardio Rite Group,,"3 LPA, 10k intern",FTE + Internship (PBC),,Geotechnical Operations,,
IPSOS,,7 LPA,FTE,,"Data and Project Management, Analytics, Product Development and Innovation, Global Client Management, Strategic Consulting",,
Interns-Elite Edu-tech,,"4-6 LPA, 25k intern",FTE + Internship ,,Business Development Associate,,
Tardid Technologies ,16/07/2025,"4.5 LPA, 15k intern",FTE + Internship (PBC),,Software,27 shortlisted,
Alter Office Labs,,"5 LPA, 25k intern",FTE + Internship (PBC),,SDE,,
Think 41  ,,"6-8 LPA, 25k intern",FTE + Internship (PBC),,Full Stack Engineer  ,,
