,,,,,,,
Total Placed (CSE) ,,162,RVCE,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Company,Date of OA,CTC,Type,Offers (CSE only),Role,Any comments/questions/topics asked ,
Confluent,3/9/2024,"35 LPA (17 Base), 1.1L intern",FTE + Internship (PBC),1,SDE,"12 shortlisted for interviews, OA had 3 coding questions",
Ernst & Young,,"19.6 LPA (CS/IS), 19 LPA (CH/ME) ",,0,"Facilities Engineer (ME,CH), SDE (CS, ISE) ",,
Avalara,3/9/2024,"17.53 LPA, 50k intern",FTE + Internship (PBC) ,1,SDE,"2 coding rounds followed by interviews, 12 shortlisted for interviews",
Syncron,2/9/2024,"11-12 LPA, 30k intern",FTE + Internship (PBC) ,0,SDE,"Only cse/ise eligible, 40 shortlists for interviews",
Baker Hughes,27/08/2024,,FTE + Internship (PBC) ,1,SDE,27 shortlisted for interview ,
SAP,27/08/2024,25 LPA (10 Base),FTE,3,SDE,"40 shortlisted for interview, OA had 2 coding questions in 45 mins",
Toshiba,29/08/2024,"11.5 LPA, 45k intern",FTE + Internship ,2,Embedded Role,34 shortlisted for interview ,
Saviynt,,"20 LPA, 50k intern",FTE + Internship,0,Associate Engineer - Java,,
ARM,28/08/2024,"15.75 LPA + 15k USD (RSU), 45k intern",FTE + Internship (PBC) ,2,Software and Hardware ,"25 shortlisted for interview, OA had 2 coding questions and 35 mcqs",
Commvault,30/08/2024,"16 LPA + 19k USD RSU + 1.5L JB, 75k intern",FTE + Internship,0,SDE,"14 shortlisted for interviews, no python allowed in OA",
Tejas Networks,5/9/2024,"10 LPA, 30k intern",FTE + Internship,0,SDE,Only cse and ece allowed,
AXTRIA,,"Year 1: 4lacs + 1 L anniversary payout, Year 2: 6 Lacs+2 L anniversary payout, Year 3 : 8 Lacs + 3 L anniversary payout, 25k intern",FTE + Internship,0,Analyst Trainee,,
Dish Networks,2/9/2024,"14.1 LPA, 25k intern",FTE + Internship,2,SDE,17 shortlisted for interviews,
GE Healthcare,5/9/2024,"16 LPA, 40k intern",FTE + Internship,0,Edison Engineering Development Program,"7 shortlisted for interviews, OA had Aptitude, technical mcqs and 2 coding questions (from main function) ",
Texas Instruments,4/9/2024,"36.42 LPA, 60k intern",FTE + Internship,2,"Software and Hardware (Analog, Digital) ",,
CynLr,1/9/2024,"Design and Development Engineering - 9-14, Applications Engineering - 7-9, Software Development - 12-18",FTE + Internship,0,SW Development (C++),,
Hyperface,3/9/2024,"18LPA(12 L Base + 2 L Variable + 4 L ESOPS), 30k intern","FTE + Internship, FTE",0,SDE,"3 shortlisted for interviews, 2 rounds of OA ",
In Mobi,8/9/2024," 22 LPA  + INR 5L (INR 3L with 1st months’ salary + INR 2L after completing a year) + RSU's range 200-500, 45k intern",FTE + Internship,5,SDE,"30 shortlisted for interviews, OA had 3 coding questions ",
The Math Company ,4/9/2024,"Year 1: 5.5 LPA (4.5L Fixed + 1L Bonus), Year 2: 8 LPA (6L Fixed + 2L Bonus), Year 3: 12.5 LPA (8.5L Fixed + 4L Bonus)",FTE,0,Trainee Analyst,"39 shortlisted for interviews, 2 rounds of OA",
Google,,18.9 LPA + 15% Joining Bonus + 26k USD stocks ,FTE ,0,Application Engineer ,"Only resume shortlisting, 19 shortlisted",
Axxela,9/9/2024,14.1 LPA,FTE,1,Trainee Analyst ,3 rounds of OA followed by interviews ,
Meesho,4/9/2024,"20 LPA + 3 L JB + 11 L esops, 45k intern",FTE + Internship,1,SDE 1,"16 shortlisted for interviews, OA had 3 coding questions",
HPE  ,5/9/2024,"17.5 LPA (12 Base), 40k intern","FTE + Internship, Internship Only",2 (Intern only),Grad Hire,"25 shortlisted for interviews, OA was for 3 hours, having 2 coding and 50 mcqs",
Pocket FM,10/9/2024,"24 LPA (Base 20 LPA + 2 LPA Joining Bonus year 1 + 2 LPA Joining Bonus year 2), 60k intern",FTE + Internship,3,Software Engineer (Backend) ,"Only cse, ise eligible, 30 shortlisted for interviews",
Deutsche India Private Limited,7/9/2024,"20 LPA , 2.5L Relocation Bonus, 75k stipend",FTE ,5,Intern Analyst,"OA had 3 coding questions, 30 shortlisted for interviews",
