Tier1->below or equal to 6lpa,,,,,,
Tier2->above 6lpa,,,BMSCE,,,
OA held in campus,,,,,,
,,,,,,
,,,,,,
Company,Date of OA,CTC,Type,No of offers,Role,Any comments/questions/topics asked 
Telstra ,,10LPA,IT+FT,,Software Engineering Associate,
Blinkit,,8LPA,FT,,Admin(Techincal Support),
Boomi Software,,"40kpm, 9-14LPA",IT+PBC,7,"Software Engineer, Solution Engineer, System Engineer ",
McAfee Software,,"42KPM, 12.6LPA",IT+PBC,4,Software Development Engineer,
Medibuddy,,25KKPM,IT,,SDE Intern,
Castsoftware,,"25KPM, 10-12LPA",IT+PBC,,Full-stack Engineer,
Cars 24,,"30KPM, 10LPA",IT+FT,,Software Development Engineer,only CS and ECE 
Fractal Analytics,,7LPA,FT,,Imagineer,
Havells,,"25KPM, 8LPA",IT+FT,"1-software, 1-IoT","Software Engineer, Solar, IoT, Power Electronics",
Precisely,,8.5LPA,IT+PBC,,Assoicate Support Engineer,
Go Digit,,6-7.5LPA,FT,,Graduate Trainee Engineer,
CommScope,,13LPA,FT,,,
Licious ,,"40KPM, 16LPA","IT+PBC, FT","2-interns, 2-FT",SDE1- Backend Engineer,
Bluebird,,"25KPM,6-10LPA",IT+PBC,,"Android Software Engineer, Cloud Programmer, Android BSP Engineer",
Textron,,"25KPM, 6.2LPA",IT+PBC,,,
Stellantis,,"20KPM, 6LPA",IT+FT,,GET,
Philips,,"45KPM, 11.5LPA",IT+FT,,"Cybersecurity, software intern",
RamSoft,,50KPM,IT+PBC,5,AI Intern,
MPower Financing,,"40KPM,10-16LPA",IT+PBC,6,Full stack Interns,
EY,,8.5LPA,FT,,Technology Consulting,
Alten Global Tech,,4.2LPA,FT,,Engineer Trainee,
Tata Power,,6.9LPA,FT,,GET,
Ignitarium,,"20KPM, 5LPA",IT+FT,,Associate Engineer,
Zebra Technologies,,33KPM,IT ,,Intern,
IBM,,4.5LPA,FT,,Associate System Engineer,
Commonwealth Bank of Australia,,10-12LPA,FT,11,Graduate Software Engineer,
AAJ Enterprise,,"5KPM, 3.5LPA",IT+FT,,"Operations Executive, Admin Executive",
Booking Holdings,,16LPA,IT+PBC,,,
Aptiv,,"25KPM,8.5LPA",IT+FT,,Associate Embedded Software Engineer,
AT&T,,"50KPM, 12-16LPA",IT+PBC,6,Intern,
L7 Informatics,,6.5LPA,IT+FT,,Engineer,
Conga,,"12KPM, 10.7LPA",IT+FT,4,"Project Trainee, Associate Software Engineer",
X-Ciencia Technologies,,4LPA,,,Asociate Software Engineer,
Deloitte ,,12KPM,IT,3,Audit & Assurance,
phData,,7LPA,FT,,"Associate Data Engineer, Assoicate Analytics Consultants",
RELX India,,8LPA,FT,1,Software Engineer,
Royal Cyber,,"25KPM, 10LPA",IT+PBC,,"Software  Engineer, Trainee, Apprenticeship",
Pretium,,35KPM,IT,,Software Engineering,
Gammastack,,"7K, 4.15LPA",IT+FT,,Solution engineer,
Infinite Computer ,,"18KPM,3.5LPA",IT+FT,,Service Desk Associate Support Engineer,
Allegis Group,,4.5LPA,FT,,Technical Graduate,
F5,,75KPM,IT,4,,
Capgemini,,4-7.5LPA,FT,,Software Engineer,
Amagi Media Pvt Ltd,,"30KPM, 18LPA",IT+FT,3,Software Engineer,
Oracle CSS-GSC,,"50KPM, 9.3LPA",IT+FT,8,"Associate Consultant, Cloud Analyst",
Cloumbia Sportswear,,6.2LPA,FT,,Trainee Engineer,
Giant Eagle,,30KPM,IT,,"IT intern, Graduate Trainee",
Kantar,,7.2LPA,FT,,Software Engineer,
Mphasis Ltd,,"20KPM,7LPA",IT+PBC,,Intern + Graduate,
GoGaga,,,,,Software Development,
Talent Taiwan,,,,,Engineer,
Lumen,,"30KPM, 7LPA",IT+PBC,,Engineer,2 shortlisted for hackathon
Zscalar,,40KPM,IT ,3,Graduate Trainee Engineer,
eLitmus,,"29KPM, 9LLPA",IT+FT,,Associate Consutant,
Zeta,,60kpm,IT,5,Engineering Intern,
MathCo,,,IT,,Intern  ,
Edureka,,18KPM,IT+FT,,Research Analyst,
Nibrus Technologies,,"15KPM, 6.5-8.2LPA",IT+PBC,,Software Engineering Intern,
Skill Intern,,"16KPM, 5.2LPA",IT+PBC,,Business Development Intern,
Artiset,,"20KPM,8-10LPA",IT+PBC,,QA Intern,
Delta ,,"10KPM,3LPA",IT+FT,,Intern Engineer Trainee,
Pepper Communications,,"10KPM, 3LPA",IT+PBC,,Public Relations Executive,
Bizmetric,,4.5LPA,FT,,Engineering  ,
Ping Identity,,45KPM,IT+PBC,2,Software Developer ,
Kaar Battalion,,"10KPM, 6.5/8LPA",IT+PBC,,"Java Developer, Analytics",
VISA,,41LPA,FT,0,Gradaute Software Test Engineer,9+ cgpa shortlist for test
Walmart Global Tech,,1LPM,IT,1,SDE Intern,
Leadsquared,,"30KPM, 10-12LPA",IT+FT,,SDE Intern,
KPMG ,,20KPM,IT,,Intern,
Xeno,,"20KPM, 6LPA",IT+PBC,,Intern- Consultant,
Primesoc Technologies,,"10KPM, 3-4LPA",IT+PBC,,"Interns, Trainee Engineers",
EPAM,,"25KPM, 8LPA",IT+FT,,,
Tata Consulting Engineers,,4.5LPA,FT,,,
HyperWorks Imagine,,"20-40KPM,7-10LPA","IT, IT+PBC, IT+FT",,"ML Intern, ML Engineer",
Enerdatics Pvt Ltd,,"10KPM, 6LPA",IT+PBC,,Business Analyst,
IIITB Comet Foundation,,15KPM,IT,,Intern,
Thales,,"25KPM, 9LPA",IT+PBC,,Intern,
Einweit Technologies,,3.2KPM,IT+PBC,,Embedded Engineering Intern,
Adapt Ready,,"20KPM,4LPA",IT+PBC,,Full Stack Developer,
Finvolv,,"25KPM, 7LPA",IT+PBC,,Engineering,
HCLTech,,4.2LPA,FT,,GET,
Infosys,,3.6LPA,FT,,Engineer ,
Edu-Versity,,"25KPM,6LPA",IT+FT,,Business Development Associate,
Accenture,,5LPA,FT,6,Analytics Associate,
AB InBev,,"30KPM,12LPA",IT+PBC,,Intern,
CGI,,3.9LPA,FT,,Associate Software Engineer,
Maximus,,"30KPM, 7.5LPA",IT+PBC,,Intern,
Resollect,,"15KPM, 5-15LPA",IT+PBC,,"Frontend developer, backend developer, Product management and business development ",
Bluebird,,"25KPM, 7-15LPA",IT+PBC,,Android Software Engineer,
Bosch ,,35KPM,IT ,,"Data Engineering intern, Applied Research intern",
UpGrad,,4LPA,FT,,Admissions Counsellors,
WizCommerce,,"25KPM, 6LPA",IT+PBC,,SDR Intern,
Tiger Analytics,,7.5LPA,FT,,Software Engineer,
Neuron7.ai,,20LPA,FT,,"Data Scientist, Software Engineer",
Fluidyn,,20KPM,IT,,"Analysis, Tech Support, Solver Developer, Software Developer",
Cyient Ltd,,15-30KPM,IT,,"Power Electronics, Software Engineer, B2S Hardware Engineer",
Leadsquared,,"27KPM, 9LPA",IT+PBC,,BTL Markerting Intern,
Target,,30KPM,IT ,,Apprentice Tech,
L&T Finance,,6LPA,FT,,GET,
DeltaX,,5LPA,,,"Product analyst, Digital marketing champion, Business operations Anaylst",
NoBroker,,22KPM,IT,,Sales Executives and Relationship manager,
Oracle ,,50KPM,IT,1,Project Intern - OFD,
G2 Risk Solutions,,5.5LPA,FT,,Associate Consutant,
Property Guru,,30KPM,IT+PBC,,Tech intern,
Spaulding Ridge,,"20KPM, 5LPA",IT+PBC,,intern,
DigiToad,,10KPM,IT,,Application Engineer,
EXA AG,,"15KPM, 7LPA",IT+FT,,Technology consultant Trainee,
CUBE,,25KPM,IT+PBC,,Strategy Intern ,
Think41,,"6LPA,25-30kpm",IT+FT,,Full stack engineer,
HashedIn,,"25kpm, 8.1LPA",IT+PBC,,software engineer,
Quest,,"25kpm, 9LPA",IT+PBC,,software engineer,
BitGo,,"30kpm, 33-35LPA",IT+PBC,8,software engineer-1,
Ceasefire Industries,,3.78LPA,IT+FT,,Ceasefire Management Trainee,
BigEndian Semiconductors,,25kpm,IT+PBC,,Intern-Software Engineer,
Infotechtion,,4-6LPA,,,react - frontend developer/ ui/ux designer/ m365 and sharepoint developer (spfx)/ data and power bi developer/ data and ai developer/ devops and deployment engineer,
Bosch,,6LPA,FT,,Graduate Apprenticeship,
Em Electronix,,not mentioned,IT+PBC,,"Embedded Engineer Intern, Software Engineer Intern",
Parallel Wireless,,21kpm,IT,,"Trainee,QA",
Wokelo,,25kpm,IT,,Datascience intern,
Acheron Software,,"15kpm, 5.5LPA",IT+FT,,Associate Software Engineer,
Suki.AI,,20.2LPA(19base),FT,,Software Engineer-1,
Polestar,,"15kpm, 6.1LPA",IT+PBC,,Analyst - Business Intelligence / Anaplan,
GKN Aerospace Engine Systems ,,10LPA,FT,,Graduate Engineer,
Gammastack,,"7kpm,4.15LPA",IT,,Solution Engineer,
ABB ,,12LPA,FT,,Associate Software Engineer,
Eightfold.ai ,,50kpm,IT,,Technical Consultants,
NCCS (National Centre for Communications Security),,15kpm,IT,,Intern,
Japan Third Party,,24LPA,FT,,System Engineer,Job location- Japan
Cleartax,,30kpm,IT,,SDET,
Razorpay,,25kpm,IT,,SDE ,
Digital.ai,,"25kpm,7.5LPA",IT+PBC,,1.Software Development 2. Software Testing ,
Einweit Technologies,,32kpm,IT+PBC,,SWE intern,
Leadsquared,,,IT+PBC,,,
EMPOWER,,,,,Associate SDE,
Serko,,,IT+PBC,,Software Engineer-IC2,
Belden India,,,IT+PBC,,CIC(customer Innovation Center),
Glowlogics,,,IT+PBC,,Inside Sales Representative,
Winman Sotware,,,FT,,SWE,
CKAS Tech LLP,,,IT+PBC,,"SWE intern, Embedded Engineer Intern",
FinSynth AI,,,IT+PBC,,"Full stack intern, SDE intern, ML intern",
Delta India,,,IT+PBC,,Intern Trainee- Senior Engineer,
Kristalball,,,IT+PBC,,"Embedded hardware engineer, IoT engineer, AI engineer, Software test, full stack engineer",
Analog Devices,,,,,"Data analyst, data scientist intern",
SVTek,,,,,FPGA RTL Design intern. ML intern,
Rakuten ,,,IT+PBC,,intern  ,
Cylsys Software,,,,,"Web dev, angular dev, dotnet, react, mobile app dev, game dev",
Wintan Excel,,,IT,,sales and marketing intern,
Flipr,,,IT+PBC,,"sales and marketing intern, Backend dev",
Hyperface,,,IT+PBC,,AI intern,
TAP academy,,,IT+PBC,,front end and backend Dev,
Omnissa,,,IT+FT,,member of technical staff-I,
Genesis,,,,,Relationship manager and business development Associate,
Stellantis,,,IT+FT,,GET,females only
Ivanti Technology,,,,,Engineering intern,
Arka Energy,,,IT+PBC,,SWE-ThreeJs,
Asianet Satellite,,,IT+PBC,,intern,
Graphemelabs,,,IT+PBC,,intern,
Accorian,,,IT+FT,,Security Engineer,
Digitalapicraft,,,,,associate SWE,
Art of Living,,,,,Intern,
Branic Tech Solutions,,,IT+PBC,,Business Acquisition Specialist,
Prodigy Technovate,,,IT+PBC,,Intern-SWE,
Applied Materials,,,,,Intern,
Candescent,,,IT+PBC,,SWE intern ,
Jacobs Solutions ,,,,,"intern-rail-signalling and telecommunication, ai and fullstack",
Cashfree Payments,,,IT+PBC,,Integration Engineer,
Merkle,,,,,"SWE, Analyst",
Light & Wonder,,,IT+PBC,,Intern,
RR concept,,,,,Intern,
Black Duck Software,,,,,Technical Interns,
Orange Business,,,,,GET,
Redica Systems,,,IT,,Full stack dev,
EduBlock Pro,,,IT+PBC,,Social Media intern,
Deriv,,,,,AI engineer,
BYLD group,,,IT+PBC,,MIS intern,
Encora,,,,,"SWE-Java or dotnet dev, AI",
Morphle Labs,,,IT+PBC,,SWE intern,
MatreComm Technology,,,IT+PBC,,"SWE-C++,react,flutter",
Minfy Technologies,,,IT+PBC,,intern,
Impact Analytics,,,,,"SWE intern-frontend,backend",
Applied Materials,,,,,Java-Fresher,
Iron Mountain ,,,IT+FT,,Associate SWE,
AJAX Engineering,,,IT+PBC,,GET,
Happiest Minds,,,,,Operations Executive,
Arvind Limited,,,,,Intern,
JRR Safelogic,,,,,Technician,
Century Real Estate,,,FT,,Sales Associate,
Conde Nast,,,,,"Associate- BI, Data governance, Product analyst",
Cyberwarefare Labs,,,,,"Sales and Marketing SI - Red team, Blue Team, Cloud Graphic design and Video Editor Web Developer Product Manager Finance HR",
Erayaa Builders,,,,,Sales Executive,
Tavant Tecnologies,,,,,SWE Trainee,
Ericsson,,,,,Student Interns,
Akamai Technologies,,,IT+FT,,Intern,
Artiset,,,IT+PBC,,"Data engineer intern, QlikSense Dev intern",
VeARC Technologies,,,IT+PBC,,"AI specialist, QA engineer",
Extreme Networks,,,FT,,Development and Testing,
MyWays.ai,,,IT+PBC,,Backend dev,
Bright Money ,,,,,"SDE-Intern( Backend),SDET-Intern,Data Science-Intern,Analyst-Intern",
Siemens,,,FT,,One year Apprenticeship Program,
