batch_year,college,source_file,company_name,job_role,placement_tier,internship_stipend,base_salary,total_ctc,num_offers_fte,num_offers_intern,num_offers_both,test_date,interview_date,ppt_date,additional_info,stocks_esops,joining_bonus,cgpa_cutoff,visit_date,oa_date,placement_type,num_offers_total,allows_ece,allows_mca,allows_mtech,has_internship,has_stocks,has_joining_bonus,salary_category,role_type,academic_year
2022,PES,Companies_list - Tier-3.csv,Utthunga Technologies,Project Trainee,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,Intern/Trainee,2018-2022
2022,PES,Companies_list - Tier-3.csv,Birlasoft,Trainee Engineer,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2018-2022
2022,PES,Companies_list - Tier-3.csv,Titan,Graduate Engineer Trainee,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2018-2022
2022,PES,Companies_list - Tier-3.csv,Anora,Graduate trainee,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,Intern/Trainee,2018-2022
2022,PES,Companies_list - Tier-3.csv,Billsafe Technologies,Tech Development intern,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,Intern/Trainee,2018-2022
2022,PES,Companies_list - Tier-3.csv,Turingminds.Ai,ML Analyst,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,Business Analyst,2018-2022
2022,PES,Companies_list - Tier-3.csv,Mountblue Technologies,Software Engineer Trainee,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2018-2022
2022,PES,Companies_list - Tier-3.csv,Nivetti Systems,Software Engineer,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-Core,2018-2022
2022,PES,Companies_list - Tier-3.csv,Neosoft Technologies,Trainee Software Engineer,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2018-2022
2022,PES,Companies_list - Tier-3.csv,Ericsson,Associate Engineer Trainee,Tier-3,,,,,,12.0,03-03-22,04-03-22,03-03-22,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2018-2022
2022,PES,Companies_list - Tier-3.csv,Simplilearn,Software Development Engineer,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-Core,2018-2022
2022,PES,Companies_list - Tier-3.csv,Altisource,Software Engineer,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-Core,2018-2022
2022,PES,Companies_list - Tier-3.csv,Itc Infotech,Associate IT consultant,Tier-3,,,,2.0,,,nan,01-04-22,nan,nan,,,,,,,,,,,False,False,False,,Other,2018-2022
2022,PES,Companies_list - Tier-3.csv,Axiscades,Graduate Engineer Trainee,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2018-2022
2022,PES,Companies_list - Tier-3.csv,7Edge,SDET,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-Test,2018-2022
2022,PES,Companies_list - Tier-3.csv,Tata Technologies,Graduate Engineer Trainee,Tier-3,,,,15.0,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2018-2022
2022,PES,Companies_list - Tier-3.csv,Monocept,Trainee Software Engineer,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2018-2022
2022,PES,Companies_list - Tier-3.csv,H3Mart,Sales,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,Other,2018-2022
2022,PES,Companies_list - Tier-3.csv,Valued Epistemics,Graduate Sales Trainee,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,Intern/Trainee,2018-2022
2022,PES,Companies_list - Tier-3.csv,Pentagon Space,Full Stack Developer,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-Core,2018-2022
2022,PES,Companies_list - Tier-3.csv,Ditto Insurance,Insurance Advisor,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,Other,2018-2022
