batch_year,college,source_file,company_name,job_role,placement_tier,internship_stipend,base_salary,total_ctc,num_offers_fte,num_offers_intern,num_offers_both,test_date,interview_date,ppt_date,additional_info,stocks_esops,joining_bonus,cgpa_cutoff,visit_date,oa_date,placement_type,num_offers_total,allows_ece,allows_mca,allows_mtech,has_internship,has_stocks,has_joining_bonus,salary_category,role_type,academic_year
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Phdata,Consultant,Tier-2,,,,,,,,,,,,,7.0,,,,,,,,False,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Hourglass,nan,Tier-2,20000.0,,,,,,,,,,,,7.0,,,,,,,,True,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Consecure,Software Engineer (Next-Gen Cybersecurity),Tier-2,20000.0,,,,,,,,,,,,6.5,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Cognizant,GenC,Tier-2,,,,,,,,,,,,,,,,,,,,,False,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Sun Life,Gradute Engineer Trainee,Tier-2,,,,,,,,,,,,,,,,,,,,,False,False,False,,SDE-ML/AI,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Columbia Sportswear Company,Software Engineer Trainee,Tier-2,,,,,,,,,,,,,7.0,,,,,,,,False,False,False,,SDE-ML/AI,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Cubic Logics,Software Development Engineer,Tier-2,15000.0,,,,,,,,,,,,7.0,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Oracle,Associate Consultant,Tier-2,50000.0,,,,,,,,,,,,7.0,,,,,,,,True,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Evam Labs,DS/DE/FS/UI,Tier-2,30000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Volvo,Associate Graduate Engineer,Tier-2,,,,,,,,,,,,,6.5,,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Bizom,Sales Developement Representative,Tier-2,25000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Ust,nan,Tier-2,,,,,,,,,,,,,6.0,,,,,,,,False,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Emids,Associate Software Engineer,Tier-2,,,,,,,,,,,,,,,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Epam,Junior Software Engineer,Tier-2,25000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Gw Deepconnect Technologies,Software Engineer,Tier-2,20000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Azentio,Software Development Engineer in Test,Tier-2,50000.0,,,,,,,,,,,,8.0,,,,,,,,True,False,False,,SDE-Test,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Blackbuck,Associate Software Engineer,Tier-2,30000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Secpod,Test automation Engineer,Tier-2,25000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,SDE-Test,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Jsw Group,Graduate Engineer Trainee,Tier-2,,,,,,,,,,,,,6.0,,,,,,,,False,False,False,,SDE-ML/AI,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Peoplebox,Software Engineer,Tier-2,20000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Emplay,Associate Data Scientist,Tier-2,20000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,Data Scientist,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Embitel Technologies,Trainee Engineer,Tier-2,30000.0,,,,,,,,,,,,6.5,,,,,,,,True,False,False,,SDE-ML/AI,2021-2025
