batch_year,college,source_file,company_name,job_role,placement_tier,internship_stipend,base_salary,total_ctc,num_offers_fte,num_offers_intern,num_offers_both,test_date,interview_date,ppt_date,additional_info,stocks_esops,joining_bonus,cgpa_cutoff,visit_date,oa_date,placement_type,num_offers_total,allows_ece,allows_mca,allows_mtech,has_internship,has_stocks,has_joining_bonus,salary_category,role_type,academic_year
2023,PES,PESU Placements 2023 - Spring Internships.csv,Digicert,Software Engineer Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Glance,Business/SDE/Product Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Texas Instruments,Embedded Software/Analog Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Arm Embedded Technology,Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Infoblox,Software Engineering Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Hrlytics,Developer Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Rakuten,Technical Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Goldman Sachs,Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Mahindra,Data Analytics Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Kimberly Clark,Graduate Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Wabtec,Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Sensehq,Software Engineer Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Intel,Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Zebra Technologies,Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Drongo Ai,Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,Centre For Smart Governance,Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Spring Internships.csv,British Telecom,Intern,Internship-Spring,,,,,,,,,,,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Adobe (Ppo),Associate Technical Consultant,Tier-2,,,,,,,,,,This was a result of an external competition,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Bosch (Ppo),Eminent,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Infosys,Specialist Programmer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Tcs,Digital,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Hardware/Embedded,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Mindtree,Graduate Engineer Trainee,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Ibm,Cloud Engineer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Deloitte Usi,USI Risk and Financial Advisory,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Pwc,Risk Consulting,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Wipro,nan,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Schneider Electric,Graduate Engineer Trainee,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Adobe Systems,Associate Technical Consultant,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Hiver,Software Development Engineer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Ather Energy,Electrical Engineer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Juspay Technology,Technical Product Analyst,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Business Analyst,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Oracle Acs,Technical Analyst,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Business Analyst,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Affinsys,Solution Consultant,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Volvo,GET & PGET,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Kpmg,Analyst TE - MS,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Business Analyst,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Subex,nan,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Cynlr,Application Engineer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Deloitte India,Senior Analyst,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Business Analyst,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Amadeus Labs,nan,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Csg India,SDE Grad,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Nextuple,Associate Software Engineer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Genpact,Business Analyst,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Business Analyst,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,At&T,Technical Intern,Tier-2,,,,,,,,,,"Internship only, possible conversion to FTE ",,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Brane Enterprises,Associated Solution Leader Trainee,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Microchip Technology,nan,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Wissen Technology,Associate Analyst,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Business Analyst,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Hdfc Bank,Functional / Technical Analyst,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Business Analyst,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Broadridge Financial Solutions,Member Technical,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Cognizant,GenC Elevate,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Ey India,Analytics Consultant,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Collins Aerospace,nan,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Nokia,Graduate Engineer Trainee,Tier-2,,,,,,,,,,CTC = 8.2 LPA + Gratuity + Mediclaim,,,,,,,,,,,False,False,False,,SDE-ML/AI,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Abb,Software Engineer,Tier-2,,,,,,,,,,FTE Only,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Perfios,Software Development Engineer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Mercedes Benz R&D,Graduate Intern Trainee,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Intern/Trainee,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Piramal Group,Data Scientist ( Support ),Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Data Scientist,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Elsevier India Technology,SWE I,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,314E Corporation,Software Engineer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Hfcl,Graduate Engineer Trainee,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Skylar Drones,nan,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Exl Service,Analyst,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Business Analyst,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Havells,nan,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Standard Chartered,Development Engineer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Jsw,Graduate Engineer Trainee,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Harman International,Associate Engineer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Hexaware Technologies,nan,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Conga,nan,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Phdata,Associate Data Engineer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Data,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Fractal Analytics,Imagineer,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Dell,Associate Sales Engineer Analyst,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Tvs Motor Company,Data Engineer/Data Scientist,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Data,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Alcon Laboratories,Associate Analyst,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Business Analyst,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Lseg,nan,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Other,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Wns,Analyst,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Business Analyst,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Sonata,Trainee Digital Technology Specialist,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,Hardware/Embedded,2019-2023
2023,PES,PESU Placements 2023 - Tier 2.csv,Zopsmart,SDE-I,Tier-2,,,,,,,,,,nan,,,,,,,,,,,False,False,False,,SDE-Core,2019-2023
