Year,College,Company,Date_OA,Offline_Test,Tier,CTC_LPA,Base_LPA,Internship_Stipend_Monthly_INR,Role,Type,Total_Offers,CGPA_Cutoff,Allows_ECE,Allows_MCA,Allows_MTech_CS,Comments,Source_File
2025,PES,Walmart,01-09-2024,TRUE,Tier 1,22.6,16,100000,SDE - II,FTE + Intern,6,9,FALSE,FALSE,FALSE,"Shortlisted 9+ CGPA for OA (~100 people), Shortlisted 30 for Interview",Cross-College companies info - PES.csv
2025,PES,DE Shaw,02-09-2024,FALSE,Tier 1,50,18,2000000,"SDE (Test Engineer).",FTE + Intern,1,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Infibeam,26-08-2024,TRUE,Tier 1,12,10,20000,SDE,FTE + Intern,2,8.8,FALSE,FALSE,FALSE,"Oncampus, Shortlisted 18 PPL for Interview",Cross-College companies info - PES.csv
2025,PES,Bain Capability Network (Bcn),29-08-2024,FALSE,Tier 2,11,9,40000,Non Tech - Intern Analyst,Internship (PBC),8,6,FALSE,FALSE,FALSE,"Shortlisted 45 people across dept for interview, Had 1 round interview 1 case study round, Questions asked on Guess estimate problems (Opening a Dress Shop in Bangalore, Profit margin in Tires)",Cross-College companies info - PES.csv
2025,PES,Netradyne,27-08-2024,TRUE,Tier 1,14,10,35000,Associate IT Engineer (Support Role),FTE + Intern,12,8.7,FALSE,FALSE,FALSE,Oncampus,Cross-College companies info - PES.csv
2025,PES,LTIMindTree,04-09-2024,TRUE,Tier 3,4,,,Graduate Engineer Trainee,FTE,41,6,TRUE,TRUE,FALSE,,Cross-College companies info - PES.csv
2025,PES,CommVault,02-09-2024,TRUE,Tier 1,32,16,50000,SDE,FTE + Intern,0,8.5,FALSE,FALSE,FALSE,"Shortlisted 7 for interview, Virtual Interview",Cross-College companies info - PES.csv
2025,PES,Meesho,29-08-2024,TRUE,Tier 1,32,20,35000,SDE,FTE + Intern,4,7,FALSE,FALSE,FALSE,"Shortlisted 30+ ppl for Interview, 2 Rounds (2nd one being OOPS system design based round)",Cross-College companies info - PES.csv
2025,PES,Sixt,02-09-2024,TRUE,Tier 1,19,12,40000,SDE 1,FTE + Intern,4,7,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Cynlr (https://cynlr.com/),02-09-2024,FALSE,Tier 1,14,,,"Design & Development
Application Engineering
Software Developer",FTE + Intern,1,7.25,TRUE,FALSE,FALSE,"Open to all branches, Asked Physics questions in OA, Interesting Startup (https://cynlr.com/)",Cross-College companies info - PES.csv
2025,PES,Inmobi Technologies,02-09-2024,TRUE,Tier 1,,,45000,SDE,FTE + Intern,8,8.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,GE Healthcare,,FALSE,Tier 1,16,,40000,SDE,FTE + Intern,,7,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Baxter,05-09-2024,TRUE,Tier 1,12,,30000,"Digital, Embedded Engineer",FTE + Intern,3,8.5,FALSE,FALSE,FALSE,"Shortlisted 44 people (27 CS for Digital Role, 17 other dept for Embedded Software)",Cross-College companies info - PES.csv
2025,PES,Deloitte US-India(T2),05-09-2024,FALSE,Tier 2,7.6,6,,Technology Analyst,FTE + Intern,10,6,FALSE,FALSE,FALSE,"Interviews Tomorrow, Shortlisted 50 for Technology Analyst, 68 for USI Analyst, Conducted same test for both roles at a time",Cross-College companies info - PES.csv
2025,PES,HPE,06-09-2024,FALSE,Tier 1,17.5,,40000,SDE,"FTE + Intern, Internship (PBC)",5,7,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Vyapar Apps (Second Hiring),06-09-2024,FALSE,Tier 1,20,12,40000,SDE,FTE + Intern,4,8.5,FALSE,FALSE,FALSE,Reduced Base (15 -> 12) and CTC (30 -> 20) on Second Round Hiring,Cross-College companies info - PES.csv
2025,PES,Amadeus,09-09-2024,TRUE,Tier 1,12,10,40000,SDE,FTE,3,7.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Epsilon,12-09-2024,FALSE,Tier 1,12,,30000,SDE 1,FTE + Intern,1,7,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
