#,Company Name,Job Role,Internship,Compensation (LPA),,Placed,,,Final CGPA Cut-off
,,,,Base,CTC,FTE Only,FTE + Intern,Intern (PBC),
1,Accenture,Associate Software Engineer,,,4.5,1,,,
2,LTIMindTree,Graduate Engineer Trainee,,,4.05,41,,,
3,Cognizant,,,,5,11,,,
4,Safran Engineering service,,,,5,,,,
5,Infosys,Systems Engineer,,,3.6,,,,
6,ConSecure,Software Engineer - Full Stack Dev,12000,,5,4,,,
7,MathCo (The MathCompany),Trainee Analyst,,4.5,5.5,1,,,
8,SimplyFI Softech,Innovation Trainee & Innovation Engineer,15000,,4,,,,
9,Tech Mahindra,Graduate Trainee,,,3.25,,,,
,,,,,5.5,,,,
10,Harman,,30000,,5.5,,,,
11,PeopleBox,SDET,15000,4.5,5.5,,,,
12,CGI,Associate Software Engineer,,,3.92,,,,
13,Ascendion,Associate Engineer,,,4.5,,,,7
14,HCLTech,GET,,,4.25,,,,
15,Microland,Engineering Trainee,,,4,,,,
16,Tsalla Aerospace,Junior Engineer,20000,,5,,,,
17,Greenway Health India,Associate Software Engineer,40000,5.5,6.5,,,,
18,Winman Software,Software Engineer - L1,15000,3.75,4.5,,,,7
,,Software Engineer - L2,,,5,,,,
19,Wipro,"Elite - Telecom, Automotive, Embedded & CPPE",,,3.5,,,,6
,,"Turbo Telecom, Automotive, Embedded & CPPE",,,5.5,,,,
20,HCLTech,Graduate Engineer Trainee,,,4.25,,,,7
21,Arys Garage,Software Engineer,,,4,,,,5
22,Healthasyst,Software Developer Trainee,,,5,,,,
,,Software QA Trainee,,,4.5,,,,
23,EverestIMS Technologies,Associate Software Engineer,12000,,4,,,,7
24,Eximietas Design,Engineer,,,5,,,,
25,Ninestars Information Technologies,Engineer - R&D,,,5,,,,6
26,Atos,Junior Associate Tester,,,4.2,,,,7.5
27,Aveto Consulting,SAP ABAP / Infor,,,5,,,,7
