#,Company Name,Job Role,Internship,Compensation (LPA),,Placed,,,Final CGPA Cut-off,Date of Visit
,,,,Base,CTC,FTE Only,FTE + Intern,Intern (PBC),,
68,Cleartrip,Software Development Engineer - 1,100000,18,32.57,,2,2,7.5,Nov 2024
69,Logik,Software Development Engineer,35000,,12,,2,,,Nov 2024
70,Gigsky,Software Engineer,40000,14,15,,4,,8,Nov 2024
71,MakeMyTrip,Software Engineer,50000,12,22,,4,,7,Nov 2024
72,McKesson,Software Development Engineer (Data),60000,,15,,2,,7.5,Nov 2024
73,Cimpress,Software Engineer,45000,,12,,1,,7,Nov 2024
74,Palo Alto Networks,Software Engineer,100000,14,41.96,,,,7.5,Nov 2024
,,Business Systems Analyst,,,,,,,,
75,Akamai Technologies,Software Engineer,35000,14.36,19.89,,2,,7,Dec 2024
,,SDET,,,,,1,,,
,,Software Engineer (Cyber Security),,,15.44,2,,,,Feb 2025
,,SDET (Cyber Security),,,,3,,,,
76,DealShare,Software Development Engineer,50000,13,23,,5,,8,Dec 2024
77,Körber,Software Engineer,50000,11.26,13,,,10,7.9,Dec 2024
78,Tesco,Graduate Engineer,,18,23,0,,,8,Dec 2024
79,Multiplier,Associate Software Engineer,80000,15,20,,,3,8,Dec 2024
80,Sandvine,Software Engineer,,12.5,16.37,3,,,8.5,Dec 2024
,,Software Test Engineer,,,,0,,,,
80,Commonwealth Bank of Australia,Graduate Software Engineer,,,12.3,9,,,8,Dec 2024
81,Rapido,Associate Product Engineer,,15,18,,,,8,Dec 2024
82,BitGo,Software Engineer,42000,15,35,,,,,Dec 2024
83,Qest,Software Engineer,30000,7.2,12,,1,,,Jan 2025
84,ABB,Associate Software Engineer (Analytics),,10,12,,,,7.5,Jan 2025
85,OneCap,Software Development Engineer,25000,6,12,,4,,,Jan 2025
86,Wokelo,Data Scientist,25000,15,25,,,,7.5,Jan 2025
87,Serko,Software Engineer,50000,,21.28,,,,6,Jan 2025
88,Candescent,Software Engineer,30000,,12,,,5,7,Jan 2025
89,WNS Analytics,Analyst,,10,12,,,,,Jan 2025
90,Tredence,Data Analyst,,,12,,,,7,Jan 2025
91,Rakuten,Software Engineer,30000,,,,,,7.5,Jan 2025
92,Jar App,Software Development Engineer - 1,35000,10,12,,1,,7.5,Jan 2025
93,Phillips,Software Engineer,45000,11.5,14.5,,,,7,Jan 2025
94,Physics Wallah,Software Development Trainee,35000,,12,,,,7,Feb 2025
95,Zeta,Software Development Engineer,,14.4,16,,,,8,Feb 2025
96,Lowe's,Associate Software Engineer,,14.15,18.76,15,,,6,Feb 2025
97,Flipkart,Software Development Engineer - 1,100000,18,32.57,,,,,Mar 2025
98,Eightfold.ai,Product Solutions Expert - 1,,16.38,37.53,,,,8,Mar 2025
99,Gajabuja,Associate Software Engineer,,10,15,,,,,Mar 2025
100,Nike,Software Engineer - 1,,13.85,16.85,,,,7,Mar 2025
101,NetApp,Software Engineer (Cloud),,,20,,,,,Apr 2025
102,Lemnisk,Software Engineer - 1,,6,15,,,,8,Apr 2025
,,Software Engineer - 1 (UI),,,,,,,,
,,Software Engineer - Tech Integration,,,,,,,,
103,Talkdesk,,100000,12,13,,,,6,Apr 2025
104,Expedia Group,Software Development Engineer - 1,,15,31,1,,,7.5,Apr 2025
105,BigEndian Semiconductors,ASIC Developer,,10,12,,,,7.5,May 2025
106,Morgan Stanley,Technology Analyst,,13,29.48,,,,7.5,May 2025
107,Flexera,Software Engineer,,,12.5,,,,,May 2025
108,RapidClaims,Data Scientist,,,15,,,,,Jun 2025
109,SAIGroup,Software Development Engineer,,20,~25,,,,,Jun 2025
110,Kraftx.ai,Frontend Developer,,12,15,,,,8.5,Jul 2025
111,DocNexus,AI Engineer,,45?,,,,,7,Jul 2025
,,Full Stack Engineer,,35?,,,,,,
112,NextAlphaAi.com,Data Engineer,,,14,,,,,Jul 2025
113,Connectex,,30000,10,16,,,,,Jul 2025
114,S&P Global,Software Engineer,,,,,,,,Jul 2025
115,Lenovo,AI Experiences Engineer,,,12,,,,7.5,Jul 2025
